Date,State,Population,DiabetesRate,ObesityRate,InactivityRate,HypertensionRate
1998/01/01,California,37432785,9.74,23.77,19.54,27.03
1997/01/01,California,37821308,9.84,24.01,19.75,27.3
1996/01/01,California,37818745,9.85,24,19.75,27.28
1995/01/01,California,37704053,9.82,23.93,19.7,27.19
1994/01/01,California,37666701,9.82,23.91,19.7,27.16
1993/01/01,California,37696299,9.84,23.93,19.72,27.16
1992/01/01,California,37567010,10,24,20,27
1991/01/01,California,37578233,9.82,23.88,19.69,27.09
1990/01/01,California,37365262,9.77,23.74,19.59,26.93
1989/01/01,California,37549024,9.83,23.86,19.69,27.06
1988/01/01,California,37495538,9.82,23.83,19.68,27.02
1987/01/01,California,37364413,9.79,23.75,19.62,26.92
1986/01/01,California,37625338,9.87,23.92,19.77,27.1
1985/01/01,California,37495151,9.84,23.85,19.71,27.01
1984/01/01,California,37218666,9.75,23.66,19.53,26.82
1983/01/01,California,37384859,9.79,23.76,19.62,26.94
1982/01/01,California,37275311,9.77,23.69,19.57,26.86
1981/01/01,California,37180276,9.74,23.63,19.52,26.79
1980/01/01,California,37352222,9.79,23.74,19.61,26.91
1979/01/01,California,37488719,9.83,23.83,19.69,27.01
1978/01/01,California,37230145,9.76,23.67,19.55,26.82
1977/01/01,California,36923810,9.68,23.47,19.38,26.6
1976/01/01,California,36915653,9.67,23.46,19.38,26.6
1975/01/01,California,37265833,9.77,23.69,19.57,26.85
1974/01/01,California,37175211,9.74,23.63,19.52,26.78
1973/01/01,California,36947610,9.68,23.49,19.4,26.62
1972/01/01,California,37287538,9.77,23.7,19.58,26.86
1971/01/01,California,37106543,9.72,23.59,19.48,26.73
2016/01/01,Colorado,5540545,6.6,22.3,15.8,25.7
2015/01/01,Colorado,5448819,6.55,22.14,15.69,25.51
2014/01/01,Colorado,5349648,6.5,21.98,15.58,25.33
2013/01/01,Colorado,5267603,6.45,21.82,15.47,25.15
2012/01/01,Colorado,5189867,6.4,21.66,15.36,24.97
2011/01/01,Colorado,5118360,6.35,21.5,15.25,24.79
2010/01/01,Colorado,5048644,6.3,21.35,15.14,24.61
2009/01/01,Colorado,5264657,6.25,21.2,15.03,24.43
2008/01/01,Colorado,5240561,6.4,21.66,15.36,24.97
2007/01/01,Colorado,5177461,6.34,21.46,15.21,24.73
2006/01/01,Colorado,5204371,6.38,21.59,15.31,24.89
2005/01/01,Colorado,5193754,6.37,21.56,15.28,24.85
2004/01/01,Colorado,5137868,6.29,21.31,15.11,24.56
2003/01/01,Colorado,5137006,6.28,21.26,15.08,24.51
2002/01/01,Colorado,5185358,6.32,21.4,15.17,24.67
2001/01/01,Colorado,5183895,6.34,21.47,15.22,24.75
2000/01/01,Colorado,5175280,6,21,15,25
1999/01/01,Colorado,5137716,6.24,21.22,15.06,24.57
1998/01/01,Colorado,5119481,6.21,21.13,15,24.49
1997/01/01,Colorado,5173385,6.26,21.34,15.15,24.74
1996/01/01,Colorado,5173835,6.25,21.32,15.14,24.75
1995/01/01,Colorado,5158455,6.22,21.25,15.09,24.68
1994/01/01,Colorado,5152552,6.21,21.22,15.07,24.67
1993/01/01,Colorado,5156330,6.2,21.21,15.07,24.7
1992/01/01,Colorado,5138679,6,21,15,25
1991/01/01,Colorado,5140362,6.18,21.16,15.04,24.66
1990/01/01,Colorado,5111369,6.13,21.03,14.95,24.53
1989/01/01,Colorado,5136559,6.16,21.13,15.02,24.66
1988/01/01,Colorado,5129189,6.14,21.09,15,24.64
1987/01/01,Colorado,5111146,6.11,21.01,14.94,24.57
1986/01/01,Colorado,5146830,6.15,21.15,15.05,24.75
1985/01/01,Colorado,5129051,6.12,21.08,15,24.68
1984/01/01,Colorado,5091259,6.1,20.94,14.89,24.46
1983/01/01,Colorado,5114005,6.12,21.03,14.95,24.57
1982/01/01,Colorado,5099013,6.1,20.96,14.91,24.51
1981/01/01,Colorado,5085998,6.08,20.91,14.87,24.45
1980/01/01,Colorado,5109510,6.11,21.01,14.94,24.56
1979/01/01,Colorado,5128186,6.13,21.08,15,24.65
1978/01/01,Colorado,5092822,6.09,20.94,14.89,24.48
1977/01/01,Colorado,5050920,6.04,20.77,14.77,24.28
1976/01/01,Colorado,5049804,6.04,20.76,14.77,24.27
1975/01/01,Colorado,5097703,6.1,20.96,14.91,24.5
1974/01/01,Colorado,5085305,6.08,20.91,14.87,24.44
1973/01/01,Colorado,5054171,6.04,20.78,14.78,24.29
1972/01/01,Colorado,5100672,6.1,20.97,14.92,24.52
1971/01/01,Colorado,5075914,6.07,20.87,14.84,24.4
2016/01/01,Connecticut,3576452,9.8,26,21.3,30.4
2015/01/01,Connecticut,3584730,9.73,25.81,21.15,30.18
2014/01/01,Connecticut,3591873,9.66,25.62,21,29.96
2013/01/01,Connecticut,3596003,9.59,25.44,20.85,29.74
2012/01/01,Connecticut,3593795,9.52,25.26,20.7,29.53
2011/01/01,Connecticut,3589893,9.45,25.08,20.55,29.32
2010/01/01,Connecticut,3579899,9.38,24.9,20.4,29.11
2009/01/01,Connecticut,3576758,9.31,24.72,20.25,28.9
2008/01/01,Connecticut,3587206,9.52,25.26,20.7,29.53
2007/01/01,Connecticut,3564597,9.43,25.02,20.5,29.25
2006/01/01,Connecticut,3596207,9.49,25.18,20.63,29.44
2005/01/01,Connecticut,3595161,9.47,25.14,20.6,29.39
2004/01/01,Connecticut,3556289,9.36,24.85,20.36,29.05
2003/01/01,Connecticut,3549020,9.34,24.8,20.32,28.99
2002/01/01,Connecticut,3569314,9.4,24.96,20.45,29.17
2001/01/01,Connecticut,3575043,9.43,25.04,20.51,29.27
2000/01/01,Connecticut,3572947,9,25,20,29
1999/01/01,Connecticut,3548412,9.29,24.82,20.27,28.98
1998/01/01,Connecticut,3535569,9.25,24.73,20.18,28.87
1997/01/01,Connecticut,3571606,9.33,24.98,20.38,29.16
1996/01/01,Connecticut,3570598,9.32,24.98,20.36,29.15
1995/01/01,Connecticut,3559436,9.28,24.9,20.28,29.05
1994/01/01,Connecticut,3556602,9.26,24.88,20.25,29.02
1993/01/01,Connecticut,3559666,9.25,24.9,20.25,29.04
1992/01/01,Connecticut,3547452,9,25,20,29
1991/01/01,Connecticut,3548382,9.22,24.85,20.19,28.97
1990/01/01,Connecticut,3528142,9.16,24.71,20.07,28.8
1989/01/01,Connecticut,3545436,9.19,24.84,20.16,28.94
1988/01/01,Connecticut,3540429,9.17,24.81,20.12,28.9
1987/01/01,Connecticut,3528145,9.13,24.73,20.04,28.8
1986/01/01,Connecticut,3552795,9.19,24.91,20.18,29.01
1985/01/01,Connecticut,3540478,9.15,24.83,20.1,28.91
1984/01/01,Connecticut,3514344,9.1,24.63,19.97,28.69
1983/01/01,Connecticut,3530024,9.14,24.74,20.06,28.82
1982/01/01,Connecticut,3519685,9.11,24.67,20,28.73
1981/01/01,Connecticut,3510725,9.09,24.61,19.94,28.66
1980/01/01,Connecticut,3526970,9.13,24.72,20.04,28.79
1979/01/01,Connecticut,3539855,9.16,24.81,20.11,28.9
1978/01/01,Connecticut,3515434,9.1,24.64,19.97,28.7
1977/01/01,Connecticut,3486505,9.03,24.44,19.81,28.46
1976/01/01,Connecticut,3485735,9.02,24.43,19.8,28.46
1975/01/01,Connecticut,3518803,9.11,24.66,19.99,28.73
1974/01/01,Connecticut,3510248,9.09,24.6,19.94,28.66
1973/01/01,Connecticut,3488757,9.03,24.45,19.82,28.48
1972/01/01,Connecticut,3520853,9.11,24.68,20,28.74
1971/01/01,Connecticut,3503762,9.07,24.56,19.9,28.6
2016/01/01,Delaware,952065,10.6,30.7,26.6,34.5
2015/01/01,Delaware,944076,10.52,30.48,26.41,34.25
2014/01/01,Delaware,934948,10.44,30.26,26.22,34
2013/01/01,Delaware,925395,10.36,30.04,26.03,33.76
2012/01/01,Delaware,916993,10.29,29.82,25.84,33.52
2011/01/01,Delaware,907924,10.22,29.61,25.65,33.28
2010/01/01,Delaware,899816,10.15,29.4,25.47,33.04
2009/01/01,Delaware,923110,10.08,29.19,25.29,32.8
2008/01/01,Delaware,921660,10.29,29.83,25.84,33.52
2007/01/01,Delaware,912579,10.19,29.54,25.6,33.2
2006/01/01,Delaware,918466,10.26,29.73,25.76,33.42
2005/01/01,Delaware,917199,10.24,29.68,25.72,33.36
2004/01/01,Delaware,907261,10.12,29.34,25.42,32.97
2003/01/01,Delaware,906527,10.1,29.28,25.37,32.91
2002/01/01,Delaware,913793,10.17,29.47,25.53,33.12
2001/01/01,Delaware,914201,10.2,29.56,25.61,33.22
2000/01/01,Delaware,913043,10,30,26,33
1999/01/01,Delaware,906537,10.08,29.37,25.45,32.91
1998/01/01,Delaware,903295,10.04,29.27,25.36,32.78
1997/01/01,Delaware,912692,10.14,29.58,25.63,33.11
1996/01/01,Delaware,912652,10.13,29.59,25.64,33.1
1995/01/01,Delaware,909886,10.1,29.52,25.57,33
1994/01/01,Delaware,908964,10.08,29.51,25.57,32.97
1993/01/01,Delaware,909672,10.08,29.55,25.61,32.98
1992/01/01,Delaware,906554,10,29,25,33
1991/01/01,Delaware,906829,10.06,29.36,25.42,32.91
1990/01/01,Delaware,901693,10,29.19,25.27,32.72
1989/01/01,Delaware,906129,10.04,29.33,25.39,32.89
1988/01/01,Delaware,904836,10.03,29.28,25.34,32.84
1987/01/01,Delaware,901669,9.99,29.16,25.24,32.73
1986/01/01,Delaware,907966,10.06,29.35,25.4,32.96
1985/01/01,Delaware,904825,10.02,29.23,25.29,32.85
1984/01/01,Delaware,898154,9.95,29.05,25.15,32.6
1983/01/01,Delaware,902165,10,29.18,25.26,32.75
1982/01/01,Delaware,899521,9.97,29.09,25.18,32.65
1981/01/01,Delaware,897227,9.94,29.01,25.11,32.57
1980/01/01,Delaware,901376,9.99,29.14,25.23,32.72
1979/01/01,Delaware,904670,10.02,29.25,25.32,32.84
1978/01/01,Delaware,898431,9.95,29.05,25.14,32.61
1977/01/01,Delaware,891038,9.87,28.81,24.94,32.34
1976/01/01,Delaware,890841,9.87,28.81,24.93,32.34
1975/01/01,Delaware,899292,9.96,29.08,25.17,32.64
1974/01/01,Delaware,897105,9.94,29.01,25.11,32.56
1973/01/01,Delaware,891612,9.88,28.83,24.95,32.36
1972/01/01,Delaware,899815,9.97,29.1,25.18,32.66
1971/01/01,Delaware,895448,9.92,28.96,25.06,32.5
2016/01/01,DC,681170,7.7,22.6,16.2,29.4
2015/01/01,DC,670377,7.64,22.44,16.08,29.19
2014/01/01,DC,659005,7.58,22.28,15.96,28.98
2013/01/01,DC,649165,7.53,22.12,15.85,28.77
2012/01/01,DC,635327,7.48,21.96,15.74,28.56
2011/01/01,DC,620477,7.43,21.8,15.63,28.35
2010/01/01,DC,605183,7.38,21.64,15.52,28.15
2009/01/01,DC,643877,7.33,21.48,15.41,27.95
2008/01/01,DC,640423,7.48,21.96,15.74,28.56
2007/01/01,DC,632073,7.41,21.75,15.59,28.29
2006/01/01,DC,634511,7.46,21.89,15.69,28.47
2005/01/01,DC,632221,7.45,21.85,15.67,28.42
2004/01/01,DC,624911,7.36,21.6,15.49,28.09
2003/01/01,DC,625098,7.35,21.55,15.45,28.04
2002/01/01,DC,632289,7.39,21.69,15.55,28.21
2001/01/01,DC,631836,7.42,21.76,15.6,28.31
2000/01/01,DC,630546,7,22,16,28
1999/01/01,DC,625790,7.3,21.61,15.53,28.02
1998/01/01,DC,623484,7.26,21.53,15.48,27.91
1997/01/01,DC,630093,7.32,21.76,15.64,28.19
1996/01/01,DC,630270,7.31,21.76,15.65,28.18
1995/01/01,DC,628495,7.28,21.71,15.62,28.09
1994/01/01,DC,627702,7.26,21.7,15.62,28.06
1993/01/01,DC,628117,7.25,21.73,15.65,28.07
1992/01/01,DC,625950,7,22,16,28
1991/01/01,DC,626161,7.22,21.69,15.63,28
1990/01/01,DC,622648,7.17,21.57,15.55,27.84
1989/01/01,DC,625732,7.2,21.69,15.64,27.98
1988/01/01,DC,624835,7.18,21.67,15.63,27.94
1987/01/01,DC,622623,7.15,21.61,15.59,27.84
1986/01/01,DC,626965,7.19,21.77,15.72,28.03
1985/01/01,DC,624800,7.16,21.71,15.68,27.94
1984/01/01,DC,620200,7.13,21.51,15.52,27.73
1983/01/01,DC,622974,7.16,21.61,15.59,27.86
1982/01/01,DC,621148,7.13,21.55,15.55,27.77
1981/01/01,DC,619561,7.11,21.5,15.52,27.7
1980/01/01,DC,622423,7.14,21.6,15.59,27.83
1979/01/01,DC,624698,7.17,21.68,15.65,27.93
1978/01/01,DC,620391,7.12,21.53,15.54,27.74
1977/01/01,DC,615287,7.06,21.35,15.41,27.51
1976/01/01,DC,615151,7.06,21.35,15.41,27.5
1975/01/01,DC,620986,7.13,21.55,15.55,27.76
1974/01/01,DC,619475,7.11,21.5,15.52,27.7
1973/01/01,DC,615682,7.07,21.37,15.42,27.53
1972/01/01,DC,621347,7.13,21.56,15.56,27.78
1971/01/01,DC,618331,7.1,21.46,15.49,27.65
2016/01/01,Florida,20612439,11.8,27.4,29.8,33.5
2015/01/01,Florida,20244914,11.72,27.2,29.59,33.26
2014/01/01,Florida,19888741,11.64,27,29.38,33.02
2013/01/01,Florida,19582022,11.56,26.81,29.17,32.78
2012/01/01,Florida,19344156,11.48,26.62,28.96,32.54
2011/01/01,Florida,19096952,11.4,26.43,28.75,32.31
2010/01/01,Florida,18849098,11.32,26.24,28.54,32.08
2009/01/01,Florida,19600781,11.24,26.05,28.33,31.85
2008/01/01,Florida,19513286,11.48,26.62,28.96,32.55
2007/01/01,Florida,19284550,11.37,26.37,28.68,32.24
2006/01/01,Florida,19390109,11.45,26.54,28.87,32.45
2005/01/01,Florida,19356811,11.43,26.49,28.82,32.39
2004/01/01,Florida,19148268,11.3,26.19,28.48,32.02
2003/01/01,Florida,19142027,11.27,26.13,28.42,31.95
2002/01/01,Florida,19317019,11.34,26.3,28.61,32.16
2001/01/01,Florida,19313231,11.38,26.39,28.7,32.26
2000/01/01,Florida,19282715,11,26,29,32
1999/01/01,Florida,19143647,11.23,26.11,28.5,31.95
1998/01/01,Florida,19075971,11.18,26,28.4,31.82
1997/01/01,Florida,19276241,11.29,26.26,28.7,32.14
1996/01/01,Florida,19277293,11.27,26.25,28.7,32.13
1995/01/01,Florida,19219709,11.23,26.16,28.63,32.03
1994/01/01,Florida,19198132,11.21,26.13,28.62,32
1993/01/01,Florida,19212451,11.2,26.13,28.65,32.01
1992/01/01,Florida,19146731,11,26,29,32
1991/01/01,Florida,19152930,11.17,26.07,28.6,31.94
1990/01/01,Florida,19044783,11.1,25.92,28.45,31.76
1989/01/01,Florida,19138586,11.15,26.04,28.6,31.91
1988/01/01,Florida,19111148,11.12,26,28.58,31.87
1987/01/01,Florida,19043991,11.08,25.91,28.49,31.76
1986/01/01,Florida,19176970,11.15,26.09,28.71,31.99
1985/01/01,Florida,19110713,11.11,26,28.62,31.88
1984/01/01,Florida,18969879,11.04,25.81,28.37,31.64
1983/01/01,Florida,19054617,11.09,25.93,28.5,31.78
1982/01/01,Florida,18998760,11.05,25.85,28.42,31.69
1981/01/01,Florida,18950276,11.02,25.78,28.35,31.61
1980/01/01,Florida,19037888,11.07,25.9,28.49,31.75
