Time,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,DistanceMeters,HeartRate,Weight,Seconds,Pace,Speed,MinHeartTarget,MaxHeartTarget
2015.09.23D18:27:33.000,53.33604326,-6.216561031,15,205.4900055,142,0,65,2.64,3.1614,105,157
2015.09.23D18:27:34.000,53.33602927,-6.216528928,14.80000019,208.1300049,142,0,66,3.22,3.1535,105,157
2015.09.23D18:27:35.000,53.33601133,-6.21649079,14.80000019,211.3500061,143,0,67,3.15,3.1545,105,157
2015.09.23D18:27:36.000,53.33599197,-6.216456341,14.60000038,214.5,144,0,68,3.45,3.1544,105,157
2015.09.23D18:27:37.000,53.33597478,-6.21641309,14.60000038,217.9499969,145,0,69,3.16,3.1587,105,157
2015.09.23D18:27:38.000,53.33596003,-6.216372605,14.39999962,221.1100006,145,0,70,2.85,3.1587,105,157
2015.09.23D18:27:39.000,53.33594545,-6.216337485,14.19999981,223.9600067,145,0,71,3.51,3.1544,105,157
2015.09.23D18:27:40.000,53.33592692,-6.216294905,14.19999981,227.4700012,145,0,72,3.43,3.1593,105,157
2015.09.23D18:27:41.000,53.33591041,-6.216251235,14,230.8999939,145,0,73,2.91,3.163,105,157
2015.09.23D18:27:42.000,53.3358918,-6.216220725,14.19999981,233.8099976,145,750,74,3.45,3.1596,105,157
2015.09.23D18:27:43.000,53.33587286,-6.216179654,14,237.2599945,145,0,75,2.97,3.1635,105,157
2015.09.23D18:27:44.000,53.3358566,-6.216144282,14.19999981,240.2299957,145,0,76,3.37,3.1609,105,157
2015.09.23D18:27:45.000,53.33583841,-6.216103798,14.19999981,243.6000061,145,0,77,2.6,3.1636,105,157
2015.09.23D18:27:46.000,53.33582374,-6.216073455,14.19999981,246.1999969,145,0,78,4.42,3.1564,105,157
2015.09.23D18:27:47.000,53.33579944,-6.216020985,14.39999962,250.6199951,145,0,79,3.37,3.1724,105,157
2015.09.23D18:27:48.000,53.33578133,-6.215980165,14.39999962,253.9900055,145,0,80,3.16,3.1749,105,157
2015.09.23D18:27:49.000,53.33576197,-6.215945547,14.60000038,257.1499939,145,0,81,3.82,3.1747,105,157
2015.09.23D18:27:50.000,53.33573674,-6.215906404,14.39999962,260.9700012,145,0,82,3.62,3.1826,105,157
2015.09.23D18:27:51.000,53.33571293,-6.215869356,14.60000038,264.5899963,145,0,83,3.06,3.1878,105,157
2015.09.23D18:27:52.000,53.33569592,-6.215833146,14.39999962,267.6499939,145,0,84,3.48,3.1863,105,157
2015.09.23D18:27:53.000,53.3356727,-6.215798194,14.60000038,271.1300049,145,0,85,3.26,3.1898,105,157
2015.09.23D18:27:54.000,53.33565208,-6.215763073,14.80000019,274.3900146,145,5,86,3.16,3.1906,105,157
2015.09.23D18:27:55.000,53.33563062,-6.21573206,14.60000038,277.5499878,145,3,87,3.34,3.1902,105,157
2015.09.23D18:27:56.000,53.335609,-6.215697192,14.60000038,280.8900146,145,0,88,3.06,3.1919,105,157
2015.09.23D18:27:57.000,53.33558947,-6.215664838,14.60000038,283.9500122,146,0,89,3.13,3.1904,105,157
2015.09.23D18:27:58.000,53.3355722,-6.215627706,14.80000019,287.0799866,145,0,90,3.26,3.1898,105,157
2015.09.23D18:27:59.000,53.33555494,-6.215588227,14.80000019,290.3399963,145,0,91,3.38,3.1905,105,157
2015.09.23D18:28:00.000,53.33553205,-6.215554783,14.60000038,293.7200012,145,0,92,3.24,3.1926,105,157
2015.09.23D18:28:01.000,53.33551428,-6.215516226,14.39999962,296.9599915,145,0,93,2.9,3.1931,105,157
2015.09.23D18:28:02.000,53.33550012,-6.215479597,14.39999962,299.8599854,146,0,94,3.1,3.19,105,157
2015.09.23D18:28:03.000,53.33548344,-6.215442214,14.39999962,302.9599915,146,0,95,3.67,3.1891,105,157
2015.09.23D18:28:04.000,53.33545963,-6.215403909,14,306.6300049,146,0,96,3.71,3.1941,105,157
2015.09.23D18:28:05.000,53.33544211,-6.215356467,13.80000019,310.3399963,146,0,97,3.4,3.1994,105,157
2015.09.23D18:28:06.000,53.33542183,-6.215318413,13.80000019,313.7399902,146,1,98,3.39,3.2014,105,157
2015.09.23D18:28:07.000,53.33540037,-6.215282204,13.60000038,317.1300049,146,0,99,3.29,3.2033,105,157
2015.09.23D18:28:08.000,53.33538269,-6.215242557,13.60000038,320.4200134,146,0,100,2.84,3.2042,105,157
2015.09.23D18:28:09.000,53.33536877,-6.21520685,13.39999962,323.2600098,146,0,101,3.01,3.2006,105,157
2015.09.23D18:28:10.000,53.33535226,-6.215171143,13.39999962,326.269989,146,0,102,3.41,3.1987,105,157
2015.09.23D18:28:11.000,53.3353365,-6.215127222,13.19999981,329.6799927,147,0,103,3.22,3.2008,105,157
2015.09.23D18:28:12.000,53.33532175,-6.215085564,13.39999962,332.8999939,147,0,104,2.83,3.201,105,157
2015.09.23D18:28:13.000,53.33530784,-6.215050193,13.39999962,335.730011,148,0,105,2.96,3.1974,105,157
2015.09.23D18:28:14.000,53.33529342,-6.215012642,13.19999981,338.6900024,147,0,106,3.47,3.1952,105,157
2015.09.23D18:28:15.000,53.335278,-6.214967379,13.19999981,342.1600037,147,0,107,3.38,3.1978,105,157
2015.09.23D18:28:16.000,53.33526216,-6.214924129,13.19999981,345.5400085,147,0,108,3.37,3.1994,105,157
2015.09.23D18:28:17.000,53.33524363,-6.214884147,13.19999981,348.9100037,147,0,109,3.2,3.201,105,157
2015.09.23D18:28:18.000,53.33522703,-6.21484492,13.19999981,352.1099854,147,0,110,3.39,3.201,105,157
2015.09.23D18:28:19.000,53.33521044,-6.214802256,13.19999981,355.5,147,0,111,3.19,3.2027,105,157
2015.09.23D18:28:20.000,53.33519502,-6.214761855,13.19999981,358.6900024,147,0,112,3.1,3.2026,105,157
2015.09.23D18:28:21.000,53.33517808,-6.214724975,13.19999981,361.7900085,147,0,113,2.92,3.2017,105,157
2015.09.23D18:28:22.000,53.33516409,-6.214687927,13.19999981,364.7099915,148,0,114,3.36,3.1992,105,157
2015.09.23D18:28:23.000,53.33514808,-6.214645095,13.19999981,368.0700073,148,0,115,3.1,3.2006,105,157
2015.09.23D18:28:24.000,53.33513366,-6.214605365,13.19999981,371.1700134,148,0,116,3.49,3.1997,105,157
2015.09.23D18:28:25.000,53.3351138,-6.214564629,13.39999962,374.6600037,148,0,117,3.62,3.2022,105,157
2015.09.23D18:28:26.000,53.33509586,-6.214519283,13.39999962,378.2799988,148,0,118,3.23,3.2058,105,157
2015.09.23D18:28:27.000,53.33508144,-6.214477206,13.39999962,381.5100098,149,0,119,3.11,3.206,105,157
2015.09.23D18:28:28.000,53.33506828,-6.214436051,13.39999962,384.6199951,149,0,120,3.77,3.2052,105,157
2015.09.23D18:28:29.000,53.33504565,-6.21439347,13.39999962,388.3900146,149,0,121,3.69,3.2098,105,157
2015.09.23D18:28:30.000,53.33502654,-6.214348208,13.39999962,392.0799866,150,0,122,3.79,3.2138,105,157
2015.09.23D18:28:31.000,53.33501112,-6.214296911,13.39999962,395.8699951,150,0,123,3.34,3.2185,105,157
2015.09.23D18:28:32.000,53.33499343,-6.214256343,13.60000038,399.2099915,150,0,124,3.43,3.2194,105,157
2015.09.23D18:28:33.000,53.33497834,-6.214211415,13.80000019,402.6400146,150,0,125,2.99,3.2211,105,157
2015.09.23D18:28:34.000,53.33496426,-6.214173278,14,405.6300049,150,0,126,3.21,3.2193,105,157
2015.09.23D18:28:35.000,53.33495052,-6.214130865,13.80000019,408.8399963,150,0,127,3.41,3.2192,105,157
2015.09.23D18:28:36.000,53.33493426,-6.214087531,13.80000019,412.25,150,0,128,3.07,3.2207,105,157
2015.09.23D18:28:37.000,53.33492177,-6.214046376,14,415.3200073,150,0,129,3.04,3.2195,105,157
2015.09.23D18:28:38.000,53.33490936,-6.214005807,14,418.3599854,151,0,130,3,3.2182,105,157
2015.09.23D18:28:39.000,53.33489922,-6.213964066,14.19999981,421.3599854,151,0,131,3.42,3.2165,105,157
2015.09.23D18:28:40.000,53.33489142,-6.213914361,14.19999981,424.7799988,151,0,132,3.35,3.218,105,157
2015.09.23D18:28:41.000,53.33488254,-6.213866249,14,428.1300049,151,0,133,2.99,3.219,105,157
2015.09.23D18:28:42.000,53.334876,-6.213822747,13.80000019,431.1199951,152,0,134,3.35,3.2173,105,157
2015.09.23D18:28:43.000,53.33487106,-6.213773126,14,434.4700012,152,0,135,3.14,3.2183,105,157
2015.09.23D18:28:44.000,53.33487315,-6.213726187,14,437.6099854,153,0,136,3.16,3.2177,105,157
2015.09.23D18:28:45.000,53.33487122,-6.213678746,13.80000019,440.769989,153,0,137,3.83,3.2173,105,157
2015.09.23D18:28:46.000,53.33486971,-6.21362133,13.60000038,444.6000061,154,0,138,4.48,3.2217,105,157
2015.09.23D18:28:47.000,53.33487315,-6.213554358,13.60000038,449.0799866,154,0,139,4.2,3.2308,105,157
2015.09.23D18:28:48.000,53.33488254,-6.21349317,13.60000038,453.2799988,153,0,140,3.53,3.2377,105,157
2015.09.23D18:28:49.000,53.33489712,-6.213446148,13.60000038,456.8099976,153,0,141,3.4,3.2398,105,157
2015.09.23D18:28:50.000,53.33491825,-6.213409267,14.39999962,460.2099915,153,0,142,2.9,3.2409,105,157
2015.09.23D18:28:51.000,53.33493811,-6.21338102,14.39999962,463.1099854,153,0,143,2.76,3.2385,105,157
2015.09.23D18:28:52.000,53.33495429,-6.213349504,14.80000019,465.8699951,153,0,144,3.32,3.2352,105,157
2015.09.23D18:28:53.000,53.33497365,-6.213311618,14.60000038,469.1900024,153,0,145,3.23,3.2358,105,157
2015.09.23D18:28:54.000,53.33499201,-6.213274067,14.60000038,472.4200134,153,0,146,3.18,3.2358,105,157
2015.09.23D18:28:55.000,53.33501263,-6.213240959,14.39999962,475.6000061,153,0,147,3.1,3.2354,105,157
2015.09.23D18:28:56.000,53.33503249,-6.213208437,14.39999962,478.7000122,153,0,148,3.14,3.2345,105,157
2015.09.23D18:28:57.000,53.33505227,-6.213174574,14.60000038,481.8399963,152,0,149,2.8,3.2338,105,157
2015.09.23D18:28:58.000,53.33507398,-6.213153368,14.39999962,484.6400146,152,0,150,2.66,3.2309,105,157
2015.09.23D18:28:59.000,53.3350936,-6.213130485,14.19999981,487.2999878,152,0,151,3.07,3.2272,105,157
2015.09.23D18:29:00.000,53.33511254,-6.213096958,14.60000038,490.3699951,152,0,152,3.26,3.2261,105,157
2015.09.23D18:29:01.000,53.33513475,-6.213065274,14.80000019,493.6300049,152,0,153,3.15,3.2263,105,157
2015.09.23D18:29:02.000,53.33515839,-6.213039039,15,496.7799988,152,0,154,2.69,3.2258,105,157
2015.09.23D18:29:03.000,53.33517389,-6.213008026,15.19999981,499.4700012,152,0,155,2.85,3.2224,105,157
2015.09.23D18:29:04.000,53.33519066,-6.212975588,15.39999962,502.3200073,153,0,156,3.32,3.22,105,157
2015.09.23D18:29:05.000,53.33521035,-6.212938204,15.80000019,505.6400146,152,0,157,3.23,3.2206,105,157
2015.09.23D18:29:06.000,53.33523181,-6.212905683,16,508.8699951,153,0,158,3.14,3.2207,105,157
2015.09.23D18:29:07.000,53.33525042,-6.212869976,16,512.0100098,153,0,159,3.57,3.2202,105,157
2015.09.23D18:29:08.000,53.33527096,-6.212828904,16.20000076,515.5800171,153,0,160,3.11,3.2224,105,157
2015.09.23D18:29:09.000,53.33528688,-6.212790599,16.20000076,518.6900024,153,0,161,2.92,3.2217,105,157
2015.09.23D18:29:10.000,53.3353018,-6.212754557,16.39999962,521.6099854,153,0,162,4.29,3.2198,105,157
2015.09.23D18:29:11.000,53.33532594,-6.212704349,16.39999962,525.9000244,153,0,163,2.52,3.2264,105,157
2015.09.23D18:29:12.000,53.33534447,-6.212682556,16.79999924,528.4199829,153,0,164,2.82,3.2221,105,157
2015.09.23D18:29:13.000,53.33536198,-6.212651879,16.79999924,531.2399902,153,0,165,2.93,3.2196,105,157
2015.09.23D18:29:14.000,53.33537322,-6.212612065,17,534.1699829,153,0,166,3.41,3.2179,105,157
2015.09.23D18:29:15.000,53.33539409,-6.212574681,17,537.5800171,153,0,167,2.46,3.219,105,157
2015.09.23D18:29:16.000,53.33541068,-6.21255029,17,540.039978,153,0,168,3.72,3.2145,105,157
2015.09.23D18:29:17.000,53.33543398,-6.212510057,17.20000076,543.7600098,153,0,169,3.04,3.2175,105,157
2015.09.23D18:29:18.000,53.33545377,-6.212478625,17.20000076,546.7999878,153,0,170,2.84,3.2165,105,157
2015.09.23D18:29:19.000,53.33547187,-6.212448617,17.60000038,549.6400146,153,0,171,2.77,3.2143,105,157
2015.09.23D18:29:20.000,53.33549098,-6.212421963,17.20000076,552.4099731,153,0,172,2.17,3.2117,105,157
2015.09.23D18:29:21.000,53.33550422,-6.212397823,17.20000076,554.5800171,153,0,173,2.92,3.2057,105,157
2015.09.23D18:29:22.000,53.33552342,-6.212367984,17.20000076,557.5,154,0,174,4.05,3.204,105,157
2015.09.23D18:29:23.000,53.335551,-6.212328169,17,561.5499878,154,0,175,2.8,3.2089,105,157
2015.09.23D18:29:24.000,53.33557027,-6.21230118,17.20000076,564.3499756,153,0,176,3.32,3.2065,105,157
2015.09.23D18:29:25.000,53.33559232,-6.212267904,17.39999962,567.6699829,153,0,177,3.4,3.2072,105,157
2015.09.23D18:29:26.000,53.33561554,-6.212234376,17.39999962,571.0700073,153,0,178,3.16,3.2083,105,157
2015.09.23D18:29:27.000,53.33563699,-6.212203363,17.20000076,574.2299805,153,0,179,2.63,3.208,105,157
2015.09.23D18:29:28.000,53.33565476,-6.212177547,17.20000076,576.8599854,154,0,180,3.09,3.2048,105,157
2015.09.23D18:29:29.000,53.33567446,-6.21214469,17.20000076,579.9500122,154,0,181,3.51,3.2041,105,157
2015.09.23D18:29:30.000,53.33569843,-6.212110324,17.39999962,583.460022,154,0,182,3.17,3.2058,105,157
2015.09.23D18:29:31.000,53.33571788,-6.212075707,17.20000076,586.6300049,154,0,183,3.24,3.2056,105,157
2015.09.23D18:29:32.000,53.33573691,-6.21203891,17.20000076,589.8699951,154,0,184,3.48,3.2058,105,157
2015.09.23D18:29:33.000,53.33575862,-6.212001024,17.39999962,593.3499756,154,0,185,2.88,3.2073,105,157
2015.09.23D18:29:34.000,53.33577991,-6.211976632,17.60000038,596.2299805,155,0,186,3.24,3.2055,105,157
2015.09.23D18:29:35.000,53.33580145,-6.211943775,17.60000038,599.4699707,155,0,187,3.27,3.2057,105,157
2015.09.23D18:29:36.000,53.33582324,-6.211910835,17.60000038,602.7399902,155,0,188,3.45,3.2061,105,157
2015.09.23D18:29:37.000,53.33584713,-6.21187781,17.39999962,606.1900024,155,0,189,2.92,3.2074,105,157
2015.09.23D18:29:38.000,53.33586917,-6.211854089,17.39999962,609.1099854,155,0,190,2.29,3.2058,105,157
2015.09.23D18:29:39.000,53.3358861,-6.211834392,17.20000076,611.4000244,155,0,191,2.48,3.201,105,157
2015.09.23D18:29:40.000,53.33590413,-6.211812347,16.79999924,613.8800049,155,0,192,4.12,3.1973,105,157
2015.09.23D18:29:41.000,53.33593304,-6.211773874,16.79999924,618,155,0,193,3.06,3.2021,105,157
2015.09.23D18:29:42.000,53.33595433,-6.211744789,16.79999924,621.0599976,155,0,194,3.05,3.2013,105,157
2015.09.23D18:29:43.000,53.33597495,-6.211714614,16.60000038,624.1099854,155,0,195,3.22,3.2006,105,157
2015.09.23D18:29:44.000,53.33599557,-6.211680667,16.79999924,627.3300171,155,0,196,3.55,3.2007,105,157
2015.09.23D18:29:45.000,53.3360208,-6.211648146,17,630.8800049,155,0,197,2.81,3.2024,105,157
2015.09.23D18:29:46.000,53.33603782,-6.211616797,16.79999924,633.6900024,155,0,198,3.87,3.2005,105,157
2015.09.23D18:29:47.000,53.33606212,-6.211575391,16.60000038,637.5599976,155,0,199,3.68,3.2038,105,157
2015.09.23D18:29:48.000,53.33608928,-6.211543875,16.60000038,641.2399902,154,0,200,3.1,3.2062,105,157
2015.09.23D18:29:49.000,53.33611267,-6.211518394,16.39999962,644.3400269,155,0,201,3.08,3.2057,105,157
2015.09.23D18:29:50.000,53.33613312,-6.211487297,16.20000076,647.4199829,155,0,202,3.14,3.205,105,157
2015.09.23D18:29:51.000,53.33615357,-6.211454608,16.20000076,650.5599976,154,0,203,3.17,3.2047,105,157
2015.09.23D18:29:52.000,53.3361736,-6.211420745,16.20000076,653.7299805,154,0,204,3.16,3.2046,105,157
2015.09.23D18:29:53.000,53.33619858,-6.211397694,15.60000038,656.8900146,155,0,205,3.97,3.2043,105,157
2015.09.23D18:29:54.000,53.33622909,-6.211366346,15,660.8599854,155,0,206,3.24,3.2081,105,157
2015.09.23D18:29:55.000,53.33625172,-6.211335752,14.60000038,664.0999756,154,0,207,3.16,3.2082,105,157
2015.09.23D18:29:56.000,53.33627427,-6.211306918,14.39999962,667.2600098,154,0,208,3.68,3.208,105,157
2015.09.23D18:29:57.000,53.33629816,-6.211268445,14,670.9400024,154,0,209,3.43,3.2102,105,157
2015.09.23D18:29:58.000,53.33631903,-6.211230559,14,674.3699951,154,0,210,1.31,3.2113,105,157
2015.09.23D18:29:59.000,53.33633202,-6.211224105,13.19999981,675.6799927,154,0,211,5.09,3.2023,105,157
2015.09.23D18:30:00.000,53.33636697,-6.211175071,13,680.7700195,153,0,212,3.31,3.2112,105,157
2015.09.23D18:30:01.000,53.33639078,-6.211145064,13,684.0800171,153,0,213,3.19,3.2116,105,157
2015.09.23D18:30:02.000,53.33640805,-6.211106842,12.80000019,687.2700195,153,0,214,3.35,3.2115,105,157
2015.09.23D18:30:03.000,53.33642975,-6.21107189,12.60000038,690.6199951,154,0,215,3.13,3.2122,105,157
2015.09.23D18:30:04.000,53.33645239,-6.211043894,12.60000038,693.75,154,0,216,3.04,3.2118,105,157
2015.09.23D18:30:05.000,53.3364746,-6.211017324,12,696.789978,153,0,217,2.78,3.211,105,157
2015.09.23D18:30:06.000,53.33649488,-6.2109931,11.60000038,699.5700073,153,0,218,3.17,3.209,105,157
2015.09.23D18:30:07.000,53.3365176,-6.210964266,11.39999962,702.7399902,153,0,219,3.22,3.2089,105,157
2015.09.23D18:30:08.000,53.33654132,-6.210936438,11,705.960022,153,0,220,2.87,3.2089,105,157
2015.09.23D18:30:09.000,53.33656093,-6.210908527,10.60000038,708.8300171,153,0,221,3.47,3.2074,105,157
2015.09.23D18:30:10.000,53.3365839,-6.210873155,10.39999962,712.2999878,152,0,222,4.31,3.2086,105,157
2015.09.23D18:30:11.000,53.33661198,-6.210828647,10.60000038,716.6099854,151,0,223,3.21,3.2135,105,157
2015.09.23D18:30:12.000,53.33663528,-6.210800149,10.39999962,719.8200073,151,0,224,3.25,3.2135,105,157
2015.09.23D18:30:13.000,53.33665774,-6.210769052,10.39999962,723.0700073,150,0,225,3.16,3.2136,105,157
2015.09.23D18:30:14.000,53.33667937,-6.210738206,10.19999981,726.2299805,151,0,226,3.59,3.2134,105,157
2015.09.23D18:30:15.000,53.33670351,-6.210702499,10.19999981,729.8200073,150,0,227,3.16,3.2151,105,157
2015.09.23D18:30:16.000,53.33672371,-6.210669139,10.19999981,732.9799805,151,0,228,3.1,3.2148,105,157
2015.09.23D18:30:17.000,53.33674449,-6.210638043,9.800000191,736.0800171,151,0,229,3.06,3.2143,105,157
2015.09.23D18:30:18.000,53.33676662,-6.210610801,9.600000381,739.1400146,151,0,230,2.98,3.2137,105,157
2015.09.23D18:30:19.000,53.33678842,-6.210584734,9.800000191,742.1199951,151,0,231,3.76,3.2126,105,157
2015.09.23D18:30:20.000,53.33680937,-6.210540561,9.600000381,745.8800049,151,0,232,2.95,3.215,105,157
2015.09.23D18:30:21.000,53.33682748,-6.210508123,9.399999619,748.8300171,151,0,233,3.05,3.2139,105,157
2015.09.23D18:30:22.000,53.33685011,-6.210482223,9.399999619,751.8800049,151,0,234,3.9,3.2132,105,157
2015.09.23D18:30:23.000,53.3368719,-6.21043629,9.399999619,755.7800293,151,0,235,3.29,3.2161,105,157
2015.09.23D18:30:24.000,53.33689109,-6.210398739,9.399999619,759.0700073,150,0,236,3.68,3.2164,105,157
2015.09.23D18:30:25.000,53.33691381,-6.210358758,9.399999619,762.75,151,0,237,3.37,3.2184,105,157
2015.09.23D18:30:26.000,53.33693745,-6.210327158,9.199999809,766.1199951,151,0,238,2.62,3.219,105,157
