Area,Group,Price,Rooms,Address
Clare,Clare,55000,1,"15 LIOS ARD, TULLA RD, ENNIS"
Clare,Clare,55000,1,"16 LIOS ARD, TULLA RD, ENNIS"
Clare,Clare,55000,1,"17 LIOS ARD, TULLA RD, ENNIS"
Clare,Clare,55000,1,"18 LIOS ARD, TULLA RD, ENNIS"
Clare,Clare,55000,1,"7 LIOS ARD, TULLA RD, ENNIS"
Clare,Clare,55000,1,"8 LIOS ARD, TULLA RD, ENNIS"
Clare,Clare,55000,1,"9 LIOS ARD, TULLA RD, ENNIS"
Clare,Clare,55000,1,"APT 516 KILKEE BAY, KILKEE, COUNTY CLARE"
Clare,Clare,63000,2,"10 BEECH HOUSE, DRUMGEELY HILL, SHANNON"
Clare,Clare,70000,2,"SANDYBANK, OBRIENS BRIDGE, CLARE"
Clare,Clare,75000,2,"200L BRU NA SIONNA, SHANNON, CLARE"
Clare,Clare,77000,2,"12 MCSWEENEY TERRACE, KILKEE, CLARE"
Clare,Clare,80000,2,"64 CLUAININ, SHANNON, CO CLARE"
Clare,Clare,80000,2,"G123 BRU NA SIONNA, SHANNON, CO CLARE"
Clare,Clare,80000,2,"THE QUAY, DOONBEG, KILRUSH"
Clare,Clare,80500,2,"10 HAZELGROVE, RUAN, ENNIS"
Clare,Clare,105000,2,"KILMACDUANE, COORACLARE, CO CLARE"
Clare,Clare,105000,2,"KILMACDUANE, COORACLARE, CO CLARE"
Clare,Clare,110000,2,"101 MOOREBAY HOLIDAY HOME, KILKEE, CLARE"
Clare,Clare,110000,3,"19 TULLAGLASS CRESENT, SHANNON, CLARE"
Clare,Clare,112000,3,"55 ARD CAOIN, GORT ROAD, ENNIS"
Clare,Clare,115000,3,"CLONSNAUGHTA, CRANNY, KILRUSH"
Clare,Clare,119000,3,"BEECHPARK, ENNIS, CO CLARE"
Clare,Clare,119000,3,"BEECHPARK, ENNIS, CO CLARE"
Clare,Clare,120000,4,"TEERGONEAN, DOOLIN, COUNTY CLARE"
Clare,Clare,120000,4,"1 OWNGARNEY LODGE, LIMERICK ROAD, SIXMILEBRIDGE"
Clare,Clare,123000,4,"DRIMINCHIN, MAURICES MILLS, ENNISTYMON"
Clare,Clare,125000,4,"39 WESTBOURNE COURT, ENNIS, CO CLARE"
Clare,Clare,135000,4,"29 AUGHANTEEROE, GORT RD, ENNIS"
Clare,Clare,139750,5,"STATION/ENNIS ROAD, COROFIN, CO CLARE"
Clare,Clare,140000,5,"31 WOODHAVEN, KILRUSH RD, ENNIS"
Clare,Clare,140000,5,"APT. 17 HARBOUR SIDE, KINCORA HARBOUR, KILLALOE"
Clare,Clare,142000,5,"12 SEAN MHARA, BALLYVAUGHAN, CLARE"
Clare,Clare,144000,5,"13 SUMMERHILL, ENNIS, CO CLARE"
Clare,Clare,160000,5,"49 CASTLEROCK, TULLA ROAD, ENNIS"
Clare,Clare,165000,5,"29 SHANACLOON, SHANABALLA, LAHINCH RD"
Clare,Clare,165000,5,"CAPPA, KILRUSH, CLARE"
Clare,Clare,165000,5,"CAPPA, KILRUSH, CLARE"
Clare,Clare,168676,5,"45 HILLVIEW, CREGGAUN NA HILLA, CLARECASTLE"
Clare,Clare,170000,5,"6 INCHICRONAN, CRUSHEEN, CLARE"
Clare,Clare,172000,5,"THE WILLOWS, BALLYKEELAUN, PARTEEN"
Clare,Clare,175000,5,"ST SENANS, LIMERICK RD, ENNIS"
Clare,Clare,175000,5,"ACAILL, SKEHANAGH, CLARECASTLE"
Clare,Clare,179000,5,"41 CLOVER HILL, TULLA RD, ENNIS"
Clare,Clare,185000,5,"69 ABBEYVILLE, ENNIS, CO CLARE"
Clare,Clare,188000,5,"1 DRUMLINE, NEWMARKET- ON -FERGUS, CO CLARE"
Clare,Clare,190500,5,"11 IVY HILL, ENNIS, CO CLARE"
Clare,Clare,192000,5,"5 LIOS ARD, TULLA RD, ENNIS"
Clare,Clare,195000,5,"OLD THATCH, FAHA, DRUMENDOORA"
Clare,Clare,200881,5,"62 Gort Leamhain, Roslevan, Ennis"
Clare,Clare,205000,5,"ASH MEADOWS, MAUSE, QUIN"
Clare,Clare,225000,5,"GLENDOWER HOUSE, CAHERCALLA RD, CAHERCALLA"
Clare,Clare,240000,5,"1 VICTORIA COURT, CUSACK RD, ENNIS"
Clare,Clare,240000,5,"TURLOUGHQUINN HOUSE, BALLYVAUGHAN, CLARE"
Clare,Clare,245000,5,"BUN A CHNOICIN, DARRAGH, ENNIS"
Clare,Clare,250100,5,"3 BAY VIEW, LAHINCH, CLARE"
Clare,Clare,259500,5,"CAHERHURLEY, BODYKE, CLARE"
Clare,Clare,297000,5,"3 CLUAIN GEARRAIN, QUINVILLE, QUIN"
Clare,Clare,363500,5,"SUITE 168 THE LINKS COTTAGE, THE LODGE, DOONBEG"
Clare,Clare,370000,5,"HAWTHORN HOUSE, BALLYLAGHNAN, KILLALOE"
Cork,Cork,25246,1,"APT 82A THOMOND VILLAGE, BALLYGRENNAN, LIMERICK"
Cork,Cork,30000,1,"3 BATHVIEW TERRACE, MALLOW, CORK"
Cork,Cork,45000,1,"8 LOWER CORK HILL, YOUGHAL, CORK"
Cork,Cork,50000,1,"SHANACASHEL, KILMICHAEL, MACROOM"
Cork,Cork,50000,1,"SHANACASHEL, KILMICHAEL, MACROOM"
Cork,Cork,55000,1,"MAIN STREET, BALLYDEHOB, COUNTY CORK"
Cork,Cork,59912,1,"8 Fan Mor, Cois Farraige, Kilcrohane"
Cork,Cork,60000,1,"51 CHAPEL COURT, SKIBBEREEN, CO. CORK"
Cork,Cork,70000,1,"71 CARLETON VILLAS, CARLETON VILLAGE, YOUGHAL"
Cork,Cork,70000,1,"CLONDULANE, FERMOY, COUNTY CORK"
Cork,Cork,70000,1,"42 Glebe Manor Estate, Whitegate, Midleton"
Cork,Cork,70000,1,"43 Glebe Manor Estate, Whitegate, Midleton"
Cork,Cork,70000,1,"INCHIMORE, BALLINGEARY, CORK"
Cork,Cork,70319,1,"1 ASHCROFT, CLOYNE, CORK"
Cork,Cork,70319,1,"11 ASHCROFT, CLOYNE, CORK"
Cork,Cork,70319,1,"2 ASHCROFT, CLOYNE, CORK"
Cork,Cork,70319,1,"4 ASHCROFT, CLOYNE, CORK"
Cork,Cork,70319,1,"5 ASHCROFT, CLOYNE, CORK"
Cork,Cork,70319,1,"6 ASHCROFT, CLOYNE, CORK"
Cork,Cork,70319,1,"8 ASHCROFT, CLOYNE, CORK"
Cork,Cork,70319,1,"9 ASHCROFT, CLOYNE, CORK"
Cork,Cork,73920,1,"23 FERRYVIEW PARK, RINGASKIDDY, CORK"
Cork,Cork,73920,1,"24 FERRYVIEW PARK, RINGASKIDDY, CORK"
Cork,Cork,73920,1,"25 FERRYVIEW PARK, RINGASKIDDY, CORK"
Cork,Cork,73920,1,"26 FERRYVIEW PARK, RINGASKIDDY, CORK"
Cork,Cork,73920,1,"27 FERRYVIEW PARK, RINGASKIDDY, CORK"
Cork,Cork,73920,1,"29 FERRYVIEW PARK, RINGASKIDDY, CORK"
Cork,Cork,75000,1,"30 WALLED GARDENS GOLF LODGE, CASTLEMARTYR RESORT, CASTLEMARTYR"
Cork,Cork,80000,1,"18 CORK STREET, MACROOM, CO.CORK"
Cork,Cork,80000,1,"EYERIES VILLAGE, BEARA, CORK"
Cork,Cork,82000,1,"LISHEEN, BALLYHOOLY, CORK"
Cork,Cork,85000,1,"19 BEECHWOOD MEWS, CLUAIN ARD, COBH"
Cork,Cork,85000,1,"23 SHOULDERS LANE, MALLOW, CORK"
Cork,Cork,85000,1,"27 THE MOORINGS, COLLA ROAD, SCHULL"
Cork,Cork,87000,1,"22 SHOULDERS LANE, MALLOW, CORK"
Cork,Cork,89000,1,"14 SPRING LANE, BALLYVOLANE RD, BLACKPOOL"
Cork,Cork,90000,1,"GREENANE, BERE ISLAND, CO CORK"
Cork,Cork,92500,1,"GORTNANOON, CROSSHAVEN, CO CORK"
Cork,Cork,94000,1,"1 ARD CLUIN, BACKROAD, ALLIHIES"
Cork,Cork,96000,1,"4 SEAN MOYLAN PARK, MALLOW, CORK"
Cork,Cork,96000,1,"8 COIS COILLTE, KILWORTH, CORK"
Cork,Cork,97500,1,"CLONARD, LOVE LANE, CHARLEVILLE"
Cork,Cork,100000,1,"10 CASTLE QUAY, KILGOBBIN, BALLINADEE"
Cork,Cork,100000,1,"2 PALACEANNE MILL, MURRAGH, ENNISKEANE"
Cork,Cork,100000,1,"APT 309 PIER HEAD, ALLINS QUAY, YOUGHAL"
Cork,Cork,102000,1,"20 RADHARC NA SLEIB, CHURCHTOWN, MALLOW CORK"
Cork,Cork,105000,1,"1 OLIVER PLUNKETT HILL, FERMOY, CORK"
Cork,Cork,110000,1,"12 ROCHES HEIGHTS, MITCHELSTOWN, CORK"
Cork,Cork,110000,1,"APT 4 B BROOK SQ, SOUTH TERRACE, CORK"
Cork,Cork,112000,1,"3 BISHOP GALVIN TERRACE, CROOKSTOWN, CORK"
Cork,Cork,115000,1,"2 BARLEYCOVE BEACH APTS, BARLEYCOVE, CORK"
Cork,Cork,120000,2,"9 MOUNTAIN VIEW, DROMGARRIFF, GLENGARRIFF"
Cork,Cork,120000,2,"7 CEDAR GROVE, CLUAIN ARD, NEWTOWN"
Cork,Cork,125000,2,"17 CLOGHEEN STRAND, CLONKILTY, HOLIDAY VILLAGE"
Cork,Cork,125000,2,"22 BALLYNOE MEWS, COBH, CORK"
Cork,Cork,125000,2,"WOODSIDE LODGE, CLASHNACRONA WEST, DUNMANWAY"
Cork,Cork,130000,2,"6 COIS CILLE, CONNA"
Cork,Cork,130000,2,"7 CLANCOOLE, BANDON, CORK"
Cork,Cork,130000,2,"ANNEMOUNT, UPPER STRAND, YOUGHAL"
Cork,Cork,130000,2,"BALLYSALLY, CHARLEVILLE, CORK"
Cork,Cork,130000,2,"NORTH KILMURRY, BERRINGS, CO CORK"
Cork,Cork,130000,2,"51 GLENTOURIG, YOUGHAL, CORK"
Cork,Cork,132000,2,"THE LIFEBOAT INN, HAMILTON ROW, COURTMACSHARRY"
Cork,Cork,135000,2,"2 HAWTHORN GROVE, KILWORTH, CORK"
Cork,Cork,135000,2,"9 KIRKWOOD VILLAS, COBH, CORK"
Cork,Cork,142000,2,"3 BEECHWOOD MEWS, CLUAIN ARD, NEWTOWN"
Cork,Cork,142500,2,"CROSS OF THE GROVES, HILLVIEW, CLOONLOUGH"
Cork,Cork,144000,2,"LOVE LANE, CHARLEVILLE, CORK"
Cork,Cork,144000,2,"4 WATERSIDE KEY, LANCASTER QUAY, CORK"
Cork,Cork,145000,2,"RATHRANNA, KANTURK, CORK"
Cork,Cork,145000,3,"3 COIS GLAISE, LIOS NA RǍ, SMITHS RD  CHARLEVILLE"
Cork,Cork,148000,3,"4 CARBERY MEWS ROSSCARBERY, ROSSCARBERY, CORK"
Cork,Cork,152500,3,"14 RUSHBROOKE MANOR, COBH, CORK"
Cork,Cork,152500,3,"15 ROSARY PLACE, MIDLETON, CORK"
Cork,Cork,153000,3,"1 TOM CLARKE TCE, MIDLETON, CORK"
Cork,Cork,153000,3,"1 TOM CLARKE TCE, MIDLETON, CORK"
Cork,Cork,154500,3,"NEWBERRY, MALLOW, CORK"
Cork,Cork,155000,3,"21 CLONLEA, MOUNT OVAL VILLAGE, ROCHESTOWN"
Cork,Cork,155000,3,"26 ROXBORRO COURT, MIDLETON, CORK"
Cork,Cork,155000,3,"7 KILMACABEA COURT, LEAP, CORK"
Cork,Cork,155000,3,"NEWTOWN, BANTRY, CORK"
Cork,Cork,158000,3,"8 HOLLYCOURT, BROOMFIELD VILLAGE, MIDLETON"
Cork,Cork,158590,3,"30 GLEANN FIA, MOGEELY, CO CORK"
Cork,Cork,160000,3,"19 EASTLY COURT COLLEGE WOOD, MALLOW, CORK"
Cork,Cork,160000,3,"28 MARBLE PARK, RIVERSTOWN, GLANMIRE"
Cork,Cork,160000,3,"28 WOODSIDE, RUSHBROOKE MANOR, COBH"
Cork,Cork,160000,3,"5 BELLVUE TERRACE, MALLOW, CORK"
Cork,Cork,160000,3,"RIVERVIEW, CAHERLAG, GLANMIRE"
Cork,Cork,160000,3,"THE SQUARE, CASTLETOWN BERE, CORK"
Cork,Cork,163000,3,"60 THE STABLES, MILL RACE, MIDLETON"
Cork,Cork,165000,3,"27 ARD NA GAOITHE, DROMAHANE, MALLOW"
Cork,Cork,165000,3,"13 COIS CUAIN, BALLYCLOUGH, MALLOW"
Cork,Cork,170000,3,"COOMEEN, WEST END, KNOCKANEROE"
Cork,Cork,170000,3,"CUMMEEN DONOUGHMORE, DONOUGHMORE, CORK"
Cork,Cork,170500,3,"18 LEE VIEW PLACE, CARRIGMAHON, MONKSTOWN"
Cork,Cork,175000,3,"KILLATHY, BALLYHOOLY, CORK"
Cork,Cork,175000,3,"DUNDARIERKE, KILNAMARTYRA, MACROOM"
Cork,Cork,176000,3,"ARD NA MONA, SUMMERDALE LAWN, BALLYCLAMASY"
Cork,Cork,176000,3,"74 THORNFIELDS, KILBROGAN HILL, BANDON"
Cork,Cork,178000,3,"17 COIS CUAIN, BALLYCLOUGH, MALLOW"
Cork,Cork,180000,3,"175 THE GALLEY, HARTYS QUAY, CORK"
Cork,Cork,180000,3,"COOLBAWN, BALLINSPITTLE, KINSALE"
Cork,Cork,185000,3,"11 KINSALE HOLIDAY VILLAGE, KINSALE, HOLIDAY VILLAGE"
Cork,Cork,185022,3,"No.4 Elm Grove, Meadowlands, Macroom"
Cork,Cork,190000,3,"APT 2  THE WATERFRONT, CLONAKILTY, CO CORK"
Cork,Cork,190000,3,"19 Inis Alainn, Curraclough, Bandon"
Cork,Cork,195000,3,"12 SPRUCE GROVE, COURTMACSHERRY, CORK"
Cork,Cork,196000,3,"4 CRESTFIELD VIEW, HAZELWOOD, GLANMIRE"
Cork,Cork,200000,3,"4 CHAPEL HILL, CARRIGALINE, CO CORK"
Cork,Cork,201500,3,"ARDNAHINCH, SHANAGARRY, CORK"
Cork,Cork,202344,4,"INNISHFALLON, SOUTHERN RD, CORK"
Cork,Cork,207049,4,"15 Cluain Mara, Farmlane, Kinsale"
Cork,Cork,210000,4,"15 AN CORRAN, CUL ARD, CARRIGTWOHILL"
Cork,Cork,210000,4,"39 OAKMOUNT, TOWER, BLARNEY"
Cork,Cork,210000,4,"60 ROS ARD, UPPER GLANMIRE, CO CORK"
Cork,Cork,210000,4,"18 INIS ALAINN, CURRACLOUGH, BANDON"
Cork,Cork,210000,4,"TRAFRASK WEST, ADRIGOLE, BANTRY"
Cork,Cork,211925,4,"44 Manor Road, Manor Farm, Lehenaghbeg"
Cork,Cork,215000,4,"76 ROS ARD, UPPER GLANMIRE, CORK"
Cork,Cork,217000,4,"OLD LACKNALOUHA, MALLOW, CORK"
Cork,Cork,218000,4,"79 FORT HILL, MONEYGOURNEY, DOUGLAS"
Cork,Cork,220000,4,"17 PRIMROSE HILL COURT, FORREST HILL, CARRIAGLINE"
Cork,Cork,220000,4,"SPITTAL, BUTTEVANT, CO CORK"
Cork,Cork,220265,4,"4 Daffodil Way, Forest Hil, Kilnagleary"
Cork,Cork,225000,4,"CLOVERHILL, GORTNAGROSS, MALLOW"
Cork,Cork,225000,4,"RIVERSIDE COTTAGE, CARRIGBOY, DURRUS BANTRY"
Cork,Cork,240000,4,"41 MAIN ST, KINSALE, CORK"
Cork,Cork,242000,4,"5 THE BRAMBLES, HERRONSWOOD, CARRIGALINE"
Cork,Cork,243000,4,"14 MAPLE RISE, PEMBROKE WOOD, PASSAGE WEST"
Cork,Cork,245000,4,"1 CEDARWOOD DRIVE, CASTLEHEIGHTS, CARRIGALINE"
Cork,Cork,248000,4,"43 SEANABOTHAIR, KILLEENS, CORK"
Cork,Cork,250000,4,"50 OAKMOUNT, TOWER, BLARNEY"
Cork,Cork,250000,4,"71 ALDERBROOK, FRANKFIELD, CORK"
Cork,Cork,250000,4,"73 CLEVEDON UPPER, KILMONEY RD, CARRIGALINE"
Cork,Cork,255000,4,"COPPERPOINT, COORIDORIGAN, SCHULL"
Cork,Cork,259300,4,"1 Coolkellure Rise, Coolkellure, Lehenaghbeg"
Cork,Cork,260000,4,"73 ASHMOUNT COURT, SILVERSPRINGS, CORK"
Cork,Cork,261731,4,"8 Spanish Walk, Convent Garden, Kinsale"
Cork,Cork,262000,4,"21 WESTCOURT, BALLINCOLLIG, CORK"
Cork,Cork,265000,4,"118 BRIGHTWATER, CROSSHAVEN, CO CORK"
Cork,Cork,268722,4,"6 Spanish Walk, Convent Gardens, Kinsale"
Cork,Cork,270000,4,"37 PAIRC NA GCRANN, GLANWORTH, CORK"
Cork,Cork,270000,4,"FARNAHOE, INNISHANNON, CO. CORK"
Cork,Cork,273127,4,"5 Daffodil Way, Forest Hill, Kilnagleary"
Cork,Cork,275000,4,"13 SEA BREEZE HEIGHTS, CLONAKILTY, CORK"
Cork,Cork,280000,4,"21 YEWLANDS, MARYBOROUGH WOODS, DOUGLAS"
Cork,Cork,280000,4,"5 COPPER VALLEY VUE, RIVERSTOWN, GLANMIRE"
Cork,Cork,280000,4,"6 AMBERLEY LAWN, GRANGE, DOUGLAS"
Cork,Cork,280000,4,"CLODAGH, CROOKSTOWN, CORK"
Cork,Cork,290000,4,"32 ARD NA GREINE, BANDUFF RD, BALLYVOLANE"
Cork,Cork,290749,4,"37 Manor Road, Manor Farm, Lehenaghbeg"
Cork,Cork,290749,5,"No 8 Ros Nua, Poulavone, Ballincollig"
Cork,Cork,295154,5,"110 The Woods, Glounthaune, County Cork"
Cork,Cork,299943,5,"1 Spanish Walk, Convent Garden, Kinsale"
Cork,Cork,300000,5,"ASHVIEW, BALLINARAHA, GLANWORTH"
Cork,Cork,300000,5,"BALLYLEAGH, LEAMLARA, CO CORK"
Cork,Cork,303965,5,"85 Millers Court, Old Quarter, Ballincollig"
Cork,Cork,305000,5,"KESGAN, BALLYSHONEEN, WATERFALL"
Cork,Cork,308370,5,"2 ROS NUA, POULAVONE, BALLINCOLLIG"
Cork,Cork,317181,5,"5 Oak Ridge, Castleheights, Carrigaline"
Cork,Cork,321139,5,"26 Cluain Mara, Farm Lane, Kinsale"
Cork,Cork,321586,5,"16 Oak Drive, Castleheights, Carrigaline"
Cork,Cork,325991,5,"11 GLENMORE HEIGHTS, KNOCKRAHA, CO. CORK"
Cork,Cork,330000,5,"144 LESLIES ARCH, OLD QUARTER, BALLINCOLLIG"
Cork,Cork,330000,5,"5 CASTLEPARK VILLAGE, KINSALE, CO CORK"
Cork,Cork,350000,5,"LOUGHDEEVEEN, BANTRY, CO. CORK"
Cork,Cork,352000,5,"4 RYECROFT, MARYBOROUGH WOODS, DOUGLAS"
Cork,Cork,352000,5,"RALEIGH NORTH, CARRIGANINE, MACROOM"
Cork,Cork,360000,5,"40 ARDKEALE, MOUNT OVAL VILLAGE, ROCHESTOWN"
Cork,Cork,375000,5,"WHITETHORN, BALLYMAW, WATERFALL"
Cork,Cork,375000,5,"AN TEACHT NUA, BALLYNOE, COBH"
Cork,Cork,395000,5,"3 CARRAIG AOIL, CLOUGHDUV, CROOKSTOWN"
Cork,Cork,395000,5,"CURRAGH HOUSE, CURRAGH, LISSARDA"
Cork,Cork,400000,5,"DELAMER, KILMICHAEL WEST, FOUNTAINSTOWN"
Cork,Cork,405000,5,"29 WHEATFIELDS, CARRIGALINE, CORK"
Cork,Cork,415000,5,"BALLYVERGAN WEST, YOUGHAL, CORK"
Cork,Cork,430000,5,"CARRAIG BAN, TULLIGMORE, BALLINHASSIG"
Cork,Cork,440528,5,"1 Dunkerrin, Mount Oval Village, Rochestown"
Cork,Cork,450000,5,"1 THE PINES, CASTLEJANE WOODS, CASTLEJANE"
Cork,Cork,450000,5,"BALLYMURPHY NORTH, INNISHANNON, CORK"
Cork,Cork,520000,5,"CASTLEVIEW, COACH HILL, ROCHESTOWN"
Cork,Cork,635000,5,"18 HEATHERFIELD AVE, WATERFALL, CORK"
Cork,Cork,650000,5,"SIENA, BALLINPHELLIC, INNISHANNON"
Cork,Cork,675000,5,"MELWOOD, 8 WOODLANDS DEMESNE, MONTENOTTE"
Cork City,Cork,49754,1,"APT 1, KINGSCOURT, MACCURTAIN ST"
Cork City,Cork,49754,1,"APT 10, KINGSCOURT, MACCURTAIN ST"
Cork City,Cork,49754,1,"APT 11, KINGSCOURT, MACCURTAIN ST"
Cork City,Cork,49754,1,"APT 12, KINGSCOURT, MACCURTAIN ST"
Cork City,Cork,49754,1,"APT 13, KINGSCOURT, MACCURTAIN ST"
Cork City,Cork,49754,1,"APT 2, KINGSCOURT, MACCURTAIN ST"
Cork City,Cork,49754,1,"APT 3, KINGSCOURT, MACCURTAIN ST"
Cork City,Cork,49754,1,"APT 4, KINGSCOURT, MACCURTAIN ST"
Cork City,Cork,49754,1,"APT 5, KINGSCOURT, MACCURTAIN ST"
Cork City,Cork,49754,1,"APT 6, KINGSCOURT, MACCURTAIN ST"
Cork City,Cork,49754,1,"APT 7, KINGSCOURT, MACCURTAIN ST"
Cork City,Cork,49754,1,"APT 8, KINGSCOURT, MACCURTAIN ST"
Cork City,Cork,49754,1,"APT 9, KINGSCOURT, MACCURTAIN ST"
Cork City,Cork,100000,1,"48 ARCADIA HALL, LOWER GLANMIRE RD, CORK"
Cork City,Cork,112500,1,"65 TEMPLEACRE AVE, GURRANEBRAHER, CORK"
Cork City,Cork,115000,1,"7 MARYVILLE COTTAGES, OLD YOUGHAL ROAD, CORK"
