ID,Location,Batch,New_Alerts,Temperature,Flow,Conductivity,Ozone,Combo_Change,Plant
11,Ctrl RM 34,Sterilization,"5,22","17,7,29,7,7,22,12,7,15,2,31,0,9,4,10,9,19,19,22,28","3.730483862357214,3.7103002580348403,0.1653713384200819,1.4741922861221246,4.562656030331273,0.5096296635991894,2.1510184226720592,3.920080910837278,5.824920798484236,3.086291135977954,0.7482127705169842,0.9023886142787524,7.774444017743226,1.3339317667507566,3.1221771315578373,4.974745129635558,6.75542662102962,5.501232018959708,7.152539905584417,0.0516464361641556","153,52,135,113,30,24,164,106,165,204,55,52,147,78,77,16,189,191,185,96","1.1040281045483427,0.2611741640372202,0.5827724307077006,0.3990643240744248,0.3851667509181425,0.44857873728033154,0.27245219333563003,0.7460614244220779,0.0012257940135896206,0.9541534217307345,1.142877528630197,0.20892365495674312,0.8060219701612369,0.3305202070623636,0.5462138880044222,0.9057839794550091,0.3515490479301661,0.5352680758573115,1.151266346918419,0.03909217724576593","-1,1,-1,1,1,-1,-1,-1,0,0",Tokyo
12,Ctrl RM 25,Treated Water,"4,22","8,29,24,20,25,25,15,2,18,24,25,17,21,31,1,17,7,18,27,9","0.9604111059708521,3.4874250879790636,5.164388544652611,0.4007319821789861,0.03483162008225918,6.371398206125014,3.3390824909158985,4.123132795759012,0.34378377137472854,3.956058500977233,0.0925184548064135,6.941358711386565,4.791111853264738,0.10504912676755339,0.24154039865359664,3.945702122694347,0.44479182488052177,0.9851128394855186,7.8059277465241035,2.1992945693200454","143,170,134,6,32,93,52,93,86,105,191,205,104,164,66,86,46,45,72,70","1.0151070902822539,1.0626922119176017,0.6786853377008811,0.848730803700164,1.2610940074780956,0.7797608082881198,1.091389630176127,0.878543875925243,1.2931291994871572,0.829098023637198,1.008192618819885,1.108507866319269,0.7736312988447026,0.6054775470169261,0.5542171614943072,0.9273423499194905,0.5888630451867357,1.0080184247577564,0.8729822701308877,0.012908727815374733","-1,-1,0,1,-1,0,0,1,1,0",Tokyo
13,Ctrl RM 10,Carbon filter,"4,22","28,11,28,4,26,13,25,20,18,27,22,26,5,22,8,5,5,24,12,5","3.1177280033775605,3.004584526407998,7.622927264368627,5.5967877516848965,1.6981667657685466,1.6796034788130783,1.5295514738094063,6.234877998870798,2.341849168171175,5.710727461006027,5.681767638968304,2.0513057859172115,3.3574853850738147,3.119785655189771,0.37982505504274744,3.1842917640693487,1.9764954378549011,7.072322661958169,4.621249133287929,1.822203705655411","14,150,13,181,116,169,162,179,33,167,71,67,144,136,175,28,159,182,163,105","0.05880841189064086,0.005788282421417534,0.23302490653004498,0.6639530065469444,0.21442691830452532,0.8690379038918764,0.5320117202587425,0.04325795590411872,1.2656662212917582,0.7252773474203423,0.3286985021317378,0.6340464135166258,0.7024898183532059,0.50632333336398,0.5832932065008208,0.8373167954850942,0.7409060107311234,0.7533305758144707,0.2986233143135905,0.4173054627608508","0,0,1,1,1,-1,0,1,1,-1",Tokyo
14,Ctrl RM 30,Unfiltered Water,"3,22","20,0,0,17,30,18,11,11,16,16,24,4,29,26,31,11,28,21,30,11","3.1748288513184524,2.7904526539007204,6.636310607998166,3.2477635832922536,0.17740667497739196,7.973718871613965,3.378373818800319,6.66489632217912,0.09587161266477778,6.830408142425585,2.1325450597121383,1.5447201680694707,2.59751298997784,2.4437568374164402,0.3782315094955266,0.13964884533314034,7.380353372273967,7.469688890073448,7.454457516158,3.407947204958182","191,51,184,70,40,146,108,199,146,208,96,191,100,118,51,145,135,95,159,127","0.19108640437480062,0.23050180433783682,1.2352328733308242,0.9650086151668802,1.2720397932920606,0.04507428766228259,0.24975215145386756,0.0857050316175446,0.03869698301423341,0.04734998873900622,0.6872894766740502,0.6090833664638922,0.07207924467511476,0.8417423848295584,0.1857287993421778,0.07007979252375662,0.6363158760592341,0.3898739193798974,0.18229221848305316,0.9152619569329545","0,-1,1,0,1,-1,0,0,1,-1",Tokyo
15,Ctrl RM 32,Treated Water,"0,22","1,30,30,6,30,18,30,27,13,11,20,16,12,7,22,19,25,3,2,30","2.4787277505826206,0.015036661992780864,4.47097884056624,6.039953923809808,4.006151903714054,2.075194322851021,6.9187992182909515,3.041940423436463,6.693097849306651,2.363800908776466,2.2808394038770348,3.118869413798675,3.665186244470533,2.0751270277495495,2.2191879511927257,7.464704299455043,3.518861404724885,5.145012981973123,2.877394794088323,5.9015662653977055","196,5,70,96,58,28,139,21,142,149,179,137,28,19,193,98,152,92,199,59","0.9793494792887941,0.8911775352666155,0.362930566794239,0.26008255858905616,0.13140616195742041,0.9433558651944622,0.6499334579566494,0.8488110053818673,0.27819682569243015,0.43835938489064574,0.8456979629350826,0.7255925491219387,0.1251159025821835,0.13943074138369413,0.1670219111489132,0.3077141122194007,0.5529875815613196,0.7927264435449616,0.5916032508481294,0.16533839378971607","-1,1,0,-1,1,0,1,-1,0,-1",Tokyo
16,Ctrl RM 10,Concentrate,"7,22","26,17,17,28,22,18,30,6,31,0,17,24,10,1,25,19,0,13,28,18","1.0620716284029186,2.482382143966388,6.067096398603171,4.727530909716152,0.43294721730751917,3.6801710259472022,3.6327747998642734,1.9827685750741513,1.9984227915666999,2.7062688780482858,4.131014106196817,5.313257101655473,6.906103649705183,7.532094044545666,5.751315074409359,7.3794124314561484,6.537879437478259,3.995085937336553,7.683124440405518,6.973521000037436","64,189,194,60,83,53,26,189,104,178,8,22,131,65,94,53,184,155,40,128","0.06283550476655364,0.758335250406526,0.11599907451309265,0.8248139150207863,0.5442902420181781,0.2513273956952617,1.1005906395614147,0.24687701808288695,0.9478567434241996,0.7816252967109903,0.9479712693020702,0.28327912373933944,1.0274949732935057,0.633449174137786,1.19669667838607,0.5599653836339712,0.7273812737548724,0.9639019002439454,0.21892493893392384,1.1047904799925163","0,1,0,-1,-1,0,1,0,1,1",Tokyo
17,Ctrl RM 36,Phosphoric Acid,"0,22","14,10,17,24,23,31,29,0,15,7,19,5,9,2,3,15,0,20,16,10","0.4675468596001156,2.078085651472211,4.717632984195371,0.641409443099983,0.5961113493237644,7.517189213905949,7.109058476316277,2.623981853344012,0.8699932967592031,0.43361053188098597,0.06997586454963312,2.0866629641107286,4.902846426714677,7.607236038732808,0.5218177172867582,7.14611832252238,2.5695920451381244,4.170154627496377,5.8498295629397035,3.841296792055946","112,134,170,186,66,63,99,167,23,180,50,22,189,29,193,205,184,147,6,149","0.9951572388643399,0.46436500961426647,0.6494739254936576,0.6119707468664274,1.0840159703977406,0.9840813285671175,0.01958539008628577,0.25462087981868536,1.0711984167108313,0.2494886081200093,0.23120880329515786,0.9348128566518427,1.273117039911449,0.6280017646029592,0.602067330176942,0.4388216408668086,0.4283801381243393,1.2699078708887102,1.1424011768540367,0.9870548353064805","1,0,1,0,1,1,0,-1,-1,-1",Tokyo
18,Ctrl RM 3,Batch Tank,"2,22","2,6,27,17,2,3,6,29,4,10,4,4,0,31,17,0,11,22,18,7","4.635549760921858,7.989332468088251,7.531770057345275,0.8307557487743907,2.58848019922385,4.089983439734206,0.9455268150893972,7.199935579153244,0.9633878231351264,3.8319867545622404,6.386530175870285,5.070851638927125,4.701840808466077,7.656838208064437,5.119295874503441,5.007421485220548,1.325345048350282,1.1518577093607747,1.3327739074081182,2.2546074444195257","80,138,16,101,181,42,132,195,54,151,193,87,205,38,153,24,105,120,71,36","0.852454956737347,0.20160765901673586,0.442375532258302,0.16904996624216437,0.6118841377552598,0.47967843217775225,1.0661886150250213,0.17657449042890222,0.6969283393817023,0.8817303969291971,0.837186434911564,0.9759276340948418,0.08056157347746194,0.31512454820331187,0.4707068513846025,0.932357448199764,0.17494054294656963,0.2881379635538906,0.857969456166029,0.8738552423659712","-1,1,1,0,-1,-1,-1,0,0,0",Tokyo
19,Ctrl RM 7,Treated Water,"1,22","18,12,16,10,7,15,0,17,2,21,6,15,19,9,15,23,2,0,17,0","3.767121844512876,6.297034663381055,4.626856717972551,0.9749805103219115,3.609451347193681,2.5062129924749024,7.503368453141302,2.245675988844596,5.814110575444065,0.5030675187171437,7.159462064562831,6.451267045892309,3.2585548106371425,1.7118399755028078,1.7943616940593348,0.10020470916293561,2.0340343978535382,7.379785517998971,1.9823848624015228,6.570633757081814","2,84,110,34,162,195,14,207,144,8,196,18,89,94,15,176,44,6,66,52","0.9949054743163288,1.2007612227462232,0.2970941442996264,0.10308053987100721,0.2649577279808,0.9846860592719168,0.1908827910432592,0.28391867806203663,0.66707670816686,0.9763701041927562,1.25124791956041,1.1186788731720299,0.11047340407967568,1.2615637408569456,1.0633049421478062,0.15104547082446515,0.6959549152757972,0.034020872530527414,0.9583906013518572,0.061293468438088895","-1,0,1,0,-1,0,1,0,0,-1",Tokyo
20,Ctrl RM 17,Treated Water,"7,23","7,11,3,5,8,10,25,24,24,0,7,11,29,1,28,24,14,5,21,22","2.3838905615173283,2.8258770081354307,7.418539156646002,5.501237836170476,7.5265665111551066,5.368726101985667,6.156773433368653,7.787536624451168,3.6831165344361216,4.093690945163835,0.9483646000712179,6.99709496855503,3.633462212982122,6.9269126423215495,2.281719553261064,5.2831143022771,3.2003407379356212,0.4396426092437469,3.0234298336762007,5.087459375699982","6,65,35,58,141,199,125,99,127,16,135,108,29,96,5,170,174,166,106,196","1.205729667772539,1.103646332048811,0.6185139206703753,0.24005155870690942,0.6094326850259677,0.5864597009960563,0.4954022949561477,0.1847934172488749,1.0747192984446883,0.7433392285136506,0.0871882051927969,0.717095008539036,0.43080690156202767,1.1934686542255803,0.5124064065748826,1.0934415434021503,0.8610138199524954,0.4280579342273995,0.17472752595786006,1.0369992031017319","-1,0,-1,1,1,1,-1,1,1,-1",Tokyo
21,Ctrl RM 15,Phosphoric Acid,"4,22","6,10,8,26,17,1,8,13,13,24,31,16,14,2,25,25,4,8,24,16","0.5505914220656268,6.748381424415856,5.259381970567629,5.7205833154614085,4.86880478459876,6.584992889820133,0.5289495637384244,4.315654584150762,1.007228589344304,2.8184481844236142,3.3640982310310936,3.7572080988576637,1.3916684784297833,7.41048698540777,2.848561164783314,1.6487210621056148,4.432893200770486,2.4553457723441534,6.125287230366376,1.8426542989304289","28,72,6,94,201,61,39,186,134,183,2,76,6,30,134,23,184,31,60,198","0.8386320453137159,1.2968044576235116,1.2731439384631813,0.9988745646551251,1.192570351320319,0.3328765641432256,0.9308642307994888,0.9972451967187226,0.66619909433648,0.3121305842418224,0.5678003840846941,1.2948450376046823,0.7537470378447324,0.41110450150445105,1.0146581461653115,0.7392084817169234,0.9200886957347393,0.09340697370935232,0.24995889177080244,0.37961680768057704","1,1,-1,1,0,1,0,-1,-1,1",Tokyo
22,Ctrl RM 4,Sterilization,"0,22","3,3,11,9,16,10,15,20,24,9,15,13,10,24,26,15,0,11,13,27","5.661671958800871,7.245212655069772,2.393290828098543,6.689117880011909,5.0711101727397185,5.8968841027678,2.2996636932855474,4.086959658414125,7.953269305233844,7.428090162840672,4.9105294329579925,6.932567767403088,2.5923334921034984,3.43448655386921,7.520423242654652,2.563941918727942,4.791235798734706,2.1430490839015692,4.49158967967378,1.9131330889766105","154,189,183,60,60,127,104,100,183,18,131,70,70,90,32,100,28,41,57,16","0.43127667852677404,0.403080734773539,0.9662848992040382,0.9359399165026844,1.1544030032353476,1.165021953242831,1.0213217411423103,0.56434103383217,0.7616629700409249,0.09881049890536815,0.16047637704759837,0.08495981055311859,0.15500718515831977,1.210625683935359,0.28972472143359485,0.3088248415850103,0.08884846614673735,0.971945154410787,0.4585255497833714,0.8365037117851898","0,-1,0,-1,0,0,-1,1,0,0",Tokyo
23,Ctrl RM 8,Treated Water,"4,22","1,24,17,27,21,27,27,16,1,17,29,4,25,28,10,22,27,24,18,9","1.6652545666554943,5.133986796610989,3.675832666612696,0.34334563885349784,6.16223710766295,0.035612735499162225,1.2217305532842875,2.447340855014045,2.4702744243410417,3.5707940617972054,4.784771121433005,3.530546958928462,4.862139226563741,5.144812625849154,7.1179718682146635,2.7196701634093188,7.428413753793575,2.9826521554216745,5.7529241275577805,7.476286165178753","28,177,185,40,65,180,168,58,178,102,140,160,29,194,141,28,21,164,164,132","0.5038683807477355,0.15895449465606362,0.4801631463924423,0.9440171725116671,1.0799753764877096,0.504830215848051,0.39627506884280594,0.3746268396964297,0.3139365301467478,0.836608908767812,0.1889649159507826,0.00043349049519747496,1.206603269884363,0.8359606505837291,1.1925426294794306,0.07432147299405188,0.8374858001014218,1.1204479069681839,0.14368851503822952,0.36170681768562646","0,0,1,-1,-1,1,-1,0,0,1",Tokyo
24,Ctrl RM 3,Carbon filter,"5,22","12,1,21,30,12,25,21,2,28,23,27,20,7,3,24,0,18,5,27,3","2.2339945905888454,4.56992695779074,3.1917902231612243,7.6178364496584985,0.17101649034302682,3.2686052374914287,0.21755534848198296,4.70647642968921,0.4117165262089111,2.439555609477684,1.1941376604372635,7.901368085655849,7.846323336162604,3.84616712015355,2.2788621958857402,7.233086975945626,5.1974167531239805,1.4884636453911662,7.4009459393494765,2.903386212717742","163,87,205,26,180,169,176,42,124,187,69,62,139,198,167,183,161,0,52,81","1.1717805221909658,1.0406450083712115,1.1343168989755215,0.6579476261045784,0.8229984916048124,0.4167153875110671,0.5869024208048359,0.35336160617880524,0.788683216017671,0.37910286216065286,1.1685144626768307,0.9505528032314032,0.934776437911205,0.21224104564171284,0.9552077318774537,1.1285689398646355,1.1432274498278276,1.0739747239043937,0.7173533085500822,0.12076444709673524","-1,0,1,-1,1,0,1,1,1,1",Tokyo
25,Ctrl RM 19,Chlorine,"5,22","31,24,7,4,5,29,30,6,4,26,14,2,6,4,2,29,0,13,12,6","0.4127432704204694,5.519925236024428,6.032577019680757,1.3200619029230438,7.671488547360059,0.7528253591572867,2.464412249715533,2.000536777493544,7.689924220300745,2.5702556275972164,3.0427568904543296,3.830308776674792,4.896120897645597,0.39618498272961006,0.9079317148006522,7.165900550463703,5.859911055224948,4.096840707140509,7.5028429043316285,1.0942374925827607","156,200,77,84,204,134,163,118,87,105,3,117,169,195,84,68,181,152,197,97","0.7349097342928872,1.1826224409975112,1.2509041563840584,1.035030051926151,0.34575560330413285,0.9750109406653792,1.1700493569718675,0.5533317575929687,0.7458495812257752,1.1930153618101031,0.7234601608943194,1.1544283054536209,0.4784954455681145,1.0056169823044911,0.4774667787598446,0.4883544812211767,1.090164730581455,0.7475162995513529,0.12913040427956732,0.08504112730734051","1,0,1,0,1,1,0,0,-1,-1",Tokyo
26,Ctrl RM 15,Mixing Tank,"5,22","9,3,4,20,12,4,2,3,6,3,9,13,20,15,19,15,25,25,7,3","2.770220346483402,4.848611982869916,7.789352462978568,6.6327251523756425,3.199502293134574,1.610846021338366,1.149037898760289,1.698715049510356,5.726422416577115,3.4746718960790894,2.5265441050403754,1.0758074043132364,6.519514298450668,6.995548338338267,0.6299772659107111,1.6765553124598227,0.10761128906626255,5.245281351178419,2.9992227528290822,2.2674134953622707","147,189,127,13,36,21,53,141,150,86,125,25,175,206,111,169,114,141,81,3","0.4706744050141424,0.6359110835473984,0.8158716439269483,0.30445985721889884,0.2524245565291494,0.4319495787844062,0.5646518333582208,0.46251560493838045,1.1066723307361828,1.1658474622527137,0.5943599701160566,0.9090934638399631,0.645310248946771,0.2629322489956394,0.5906108075520023,0.8998522149864584,0.810086418571882,0.25349760830868034,0.017154883407056332,0.6425772700691595","1,0,-1,0,1,-1,-1,0,1,1",Tokyo
27,Ctrl RM 43,Flavour,"7,22","8,26,5,9,31,21,20,26,10,1,9,17,19,21,14,23,19,26,7,15","6.550663575748914,2.9549131365469656,0.34158550193300474,2.0679528367659077,6.08099146042252,6.95177151493961,4.276380393505097,2.99238538895268,4.9989874095376585,4.22312160957139,2.3018461797991767,4.372044701762498,6.9227921502734535,1.2643522259616293,1.8240159537713043,4.968760101546068,0.9015378783643246,2.575004194236826,7.203318343954161,0.24338611014885828","205,145,73,1,172,106,205,191,2,108,191,59,190,43,169,156,27,154,7,65","1.2598552602808923,0.6968287135241553,0.42615244570188227,1.1821538208751008,1.1100846079178155,0.3050597762223333,0.318388855503872,1.2639235136797653,0.04718050074297935,1.2784507438307628,1.0938389450777322,0.35978417871519924,0.7744780060369522,0.5164392412872986,0.22365395936649293,1.1855862111318858,0.4624254611320794,0.3902698118938133,0.4508498324779794,0.10859873138833791","-1,-1,0,-1,0,-1,1,0,0,0",Tokyo
28,Ctrl RM 1,Particulate Remover,"9,22","9,20,30,27,20,0,0,11,15,31,13,4,1,13,8,28,15,27,13,13","3.6474677497171797,2.0925071457517332,7.535422744818498,4.879731260698755,1.2574182372284122,7.432495460095816,3.5918057936034167,7.78827371919062,5.309158462749329,4.052330494753551,0.022900185941252857,6.177952576947864,6.0006460521277045,3.3311162291094663,6.5775461903237735,4.373785947165452,0.5251025512884371,7.165846759402194,5.644024165389128,3.8975755808665418","118,11,181,62,140,200,57,95,3,111,158,85,94,78,190,63,201,134,146,153","0.11820557601749897,0.691573979984969,0.44895548953209075,0.07859673397615552,0.21791315500158817,0.905422332440503,1.2663772443775088,0.8782673442969099,0.22516360410954803,0.6563313796417788,0.7101888686418534,0.3520336867775768,1.124937935336493,0.5030554253840819,0.15500640273094177,0.146481853723526,0.5170190968550742,1.069370136060752,0.5308839218690992,0.6896181288640947","0,0,1,-1,-1,-1,-1,0,1,1",Tokyo
