Symbol,Name,Sector,Price,Price/Earnings,MaxPE,Dividend Yield,MaxDiv,Earnings/Share,MaxErnShr,52 Week Low,52 Week High,Market Cap,EBITDA,MaxEBIDTA,Price/Sales,MaxPS,Price/Book,MaxPB,SEC Filings
APD,Air Products & Chemicals Inc,Materials,152.8,24.22,0.046563491,2.7811,0.219655325,13.66,0.309820821,175.17,133.6301,34638387128.00,2542500000.00,0.032027058,4.1164,0.204854113,3.35,0.002387094,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD
AKAM,Akamai Technologies Inc,Information Technology,62.49,32.55,0.062578102,0,0,1.79,0.040598775,69.56,44.65,10906904066.00,789517000.00,0.009945293,5.8547,0.291361232,3.25,0.002315837,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM
ALK,Alaska Air Group Inc,Industrials,64.04,9.66,0.018571566,1.9928,0.157394244,8.28,0.187797687,101.43,59.25,7903173734.00,1665000000.00,0.020973471,0.9801,0.048775026,2.21,0.001574769,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALK
ALB,Albemarle Corp,Materials,105.18,26.03,0.050043257,1.2004,0.094809339,5.66,0.128373781,144.99,90.35,11782151266.00,686030000.00,0.0086417,5.3666,0.267070761,2.98,0.002123445,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB
ARE,Alexandria Real Estate Equities Inc,Real Estate,114.58,19.03,0.0365856,3.0262,0.23901368,1.57,0.035608982,134.37,106.89,12043374429.00,0.00,0,10.4922,0.522148072,2.07,0.00147501,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARE
ALXN,Alexion Pharmaceuticals,Health Care,108.47,22.18,0.042641546,0,0,1.77,0.040145158,149.34,96.18,26172439795.00,1072000000.00,0.01350364,9.7206,0.483749123,2.82,0.002009434,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALXN
ALGN,Align Technology,Health Care,220.71,56.59,0.10879554,0,0,2.84,0.064413699,287.32,92.61,18788041378.00,380326000.00,0.004790845,13.1388,0.653857064,16.44,0.011714575,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALGN
ALLE,Allegion,Industrials,77.32,21.07,0.040507546,0.8004,0.063216757,2.37,0.053753686,89.81,66.72,7599609494.00,531800000.00,0.006698914,4.2652,0.212259198,20.48,0.014593339,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALLE
AGN,"Allergan, Plc",Health Care,164.2,10.65,0.020474863,1.6433,0.129790225,38.35,0.869811749,256.8,160.07,56668833898.00,2888100000.00,#VALUE!,4.8201,0.239873994,0.83,0.000591429,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AGN
ADS,Alliance Data Systems,Information Technology,240.6,13.02,0.025031241,0.924,0.072978865,14.13,0.320480835,278.33,209,13632608582.00,2143200000.00,0.026997204,1.7282,0.086004489,8.28,0.005900041,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADS
LNT,Alliant Energy Corp,Utilities,37.14,19.86,0.038181294,3.5733,0.282224434,1.65,0.037423452,45.55,36.84,8670163500.00,1168400000.00,0.01471796,3.4331,0.170849445,2.13,0.001517764,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LNT
ALL,Allstate Corp,Financials,90.06,13.26,0.025492646,1.5278,0.120667867,4.68,0.106146518,105.36,77.73,34759468905.00,0.00,0,1.2086,0.06014641,1.67,0.001189984,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALL
GOOGL,Alphabet Inc Class A,Information Technology,"1,007.71",31.48,0.060521004,0,0,22.27,0.505103198,"1,198.00",824.3,733823966137.00,34217000000.00,0.431020583,6.8017,0.338489024,4.7,0.003349057,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL
GOOG,Alphabet Inc Class C,Information Technology,"1,001.52",40.29,0.077458425,0,0,22.27,0.505103198,"1,186.89",803.1903,728535558140.00,32714000000.00,0.412087774,6.7727,0.337045829,4.67,0.00332768,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOG
MO,Altria Group Inc,Consumer Staples,64.05,18.89,0.036316447,3.9527,0.312189998,5.31,0.120435473,77.79,60.01,126985101434.00,10773000000.00,0.135704028,4.9457,0.246124523,10.32,0.007353675,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO
AMZN,Amazon.com Inc,Consumer Discretionary,"1,350.50",296.16,0.569374219,0,0,6.16,0.139714221,"1,498.00",812.5,685873374731.00,16132000000.00,0.203209634,3.9271,0.195433531,24.28,0.017301087,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN
AEE,Ameren Corp,Utilities,52.59,20.38,0.039181005,3.4405,0.271735696,2.68,0.060784758,64.89,51.81,12905744906.00,2298000000.00,0.02894717,2.6931,0.134023081,1.79,0.001275492,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEE
AAL,American Airlines Group,Industrials,48.6,9.92,0.019071422,0.7782,0.061463368,3.91,0.088682241,59.08,39.21,24594852352.00,5761000000.00,0.072569471,0.5802,0.02887386,6.03,0.004296769,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAL
AEP,American Electric Power,Utilities,63.38,17.32,0.033298087,3.8479,0.303912741,1.24,0.028124291,78.07,62.69,31701916517.00,4450800000.00,0.056065301,2.749,0.136804965,1.81,0.001289743,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEP
AXP,American Express Co,Financials,88.34,15,0.028837835,1.4956,0.118124664,2.9,0.065774552,102.385,75.51,80410990000.00,0.00,0,2.2736,0.113146514,3.75,0.00267212,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXP
AIG,"American International Group, Inc.",Financials,58.28,23.22,0.044640969,2.1168,0.167187944,-0.76,-0.017237469,67.3,57.85,54360073164.00,0.00,0,1.4687,0.073090379,0.75,0.000534424,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIG
AMT,American Tower Corp A,Real Estate,133.57,20.68,0.039757762,2,0.15796291,1.97,0.044681334,155.28,103.36,59213892640.00,3792383000.00,0.047771433,11.9541,0.594900046,9.22,0.006569853,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMT
AWK,American Water Works Company Inc,Utilities,76.06,26.23,0.050427761,2.1293,0.168175212,2.63,0.059650714,92.37,71.89,13906146184.00,1711000000.00,0.021552919,5.5538,0.276386836,2.55,0.001817042,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AWK
AMP,Ameriprise Financial,Financials,152.5,12.41,0.023858502,2.0736,0.163775945,9.44,0.214107507,183.9,118.84,23472126000.00,0.00,0,1.9493,0.097007609,3.73,0.002657869,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMP
ABC,AmerisourceBergen Corp,Health Care,91.55,15.54,0.029875997,1.6132,0.127412883,1.64,0.037196643,106.27,71.9,20587704101.00,991884000.00,0.012494445,0.174,0.008659172,9.73,0.006933261,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABC
AME,AMETEK Inc,Industrials,72.05,27.61,0.053080842,0.7551,0.059638897,2.94,0.066681787,78.51,51.31,17139651923.00,1025763000.00,0.012921208,4.0154,0.199827812,4.54,0.003235047,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AME
AMGN,Amgen Inc,Health Care,173.12,13.76,0.026453908,2.9752,0.234985625,2.57,0.058289862,201.23,152.16,128133340000.00,11945000000.00,0.150467337,5.5819,0.277785243,3.91,0.002786131,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMGN
APH,Amphenol Corp,Information Technology,84.44,25.9,0.049793329,0.8609,0.067995135,2.05,0.046495804,93.62,67.26,26955335395.00,1671700000.00,0.021057869,3.8567,0.19193005,6.64,0.004731434,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH
APC,Anadarko Petroleum Corp,Energy,56.2,-21.29,-0.040930501,1.703,0.134505418,-5.9,-0.133817192,70,39.96,32129091747.00,3115000000.00,0.039238657,3.9682,0.197478887,2.88,0.002052188,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APC
ADI,"Analog Devices, Inc.",Information Technology,82.68,17.67,0.03397097,2.109,0.166571889,2.11,0.047856657,98.38,74.65,31811578855.00,1663384000.00,0.020953115,8.0039,0.398316936,3.13,0.00223033,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADI
ANDV,Andeavor,Energy,96.9,18.78,0.03610497,2.3455,0.185251003,6.13,0.139033795,121.71,75.11,15696449735.00,2548000000.00,0.032096339,0.6618,0.032934713,1.7,0.001211361,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANDV
ANSS,ANSYS,Information Technology,148.84,42.53,0.081764876,0,0,2.99,0.067815831,164.9,94.52,13155919129.00,458515000.00,0.005775767,16.8134,0.836724842,5.79,0.004125754,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANSS
ANTM,Anthem Inc.,Health Care,230.57,19.23,0.036970105,1.2582,0.099374467,14.36,0.325697437,267.95,156.81,61221978627.00,0.00,0,0.6697,0.033327859,2.28,0.001624649,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANTM
AON,Aon plc,Financials,136.05,20.8,0.039988465,1.0245,0.080916501,4.66,0.105692901,152.78,113.2201,35123123422.00,1858000000.00,0.023404631,3.4973,0.174044381,6.78,0.004831193,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AON
APA,Apache Corporation,Energy,37.73,-251.53,-0.483572047,2.5284,0.199696711,-3.72,-0.084372874,57.9,38.14,15066280977.00,3265000000.00,0.041128159,3.6514,0.181713222,2.22,0.001581895,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APA
AIV,Apartment Investment & Management,Real Estate,38.21,15.6,0.029991349,3.8766,0.306179509,1.95,0.044227716,46.855,38.85,6156884142.00,874871000.00,0.01102047,6.1876,0.307928119,4.69,0.003341932,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIV
AAPL,Apple Inc.,Information Technology,155.15,16.86,0.032413727,1.5795,0.124751208,9.2,0.208664096,180.1,131.12,809508034020.00,79386000000.00,1,3.4586,0.172118461,5.66,0.00403312,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL
AMAT,Applied Materials Inc,Information Technology,45.75,14.08,0.027069115,0.8215,0.064883265,3.17,0.07189839,60.89,34.58,51296481503.00,4336000000.00,0.054619202,4.702,0.233996706,5.44,0.003876356,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMAT
APTV,Aptiv Plc,Consumer Discretionary,89.27,69.74,0.134076709,0.9393,0.074187281,5.05,0.114538444,96.91,82.97,24906530300.00,2370000000.00,0.02985413,1.5026,0.074777424,7.56,0.005386994,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APTV
ADM,Archer-Daniels-Midland Co,Consumer Staples,41.35,17.45,0.033548015,3.1761,0.250853,2.17,0.04921751,47.44,38.59,23594770663.00,2927000000.00,0.036870481,0.5248,0.026116859,1.29,0.000919209,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADM
ARNC,Arconic Inc,Industrials,24.45,20.21,0.038854177,0.9562,0.075522067,-0.21,-0.004762985,31.17,21.755,12123300000.00,1517000000.00,0.019109163,0.9421,0.046883942,,0,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARNC
AJG,Arthur J. Gallagher & Co.,Financials,64.4,21.05,0.040469095,2.4807,0.195929296,2.54,0.057609435,70.55,53.63,11968488290.00,888000000.00,0.011185851,1.94,0.096544791,2.92,0.002080691,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AJG
AIZ,Assurant Inc,Financials,85.16,33.27,0.063962319,2.5314,0.199933656,9.08,0.205942391,106.985,85.91,4653993594.00,0.00,0,0.9822,0.048879533,1.12,0.000798073,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIZ
T,AT&T Inc,Telecommunication Services,35.57,12.14,0.023339421,5.4157,0.427739867,4.76,0.107960989,42.7,32.55,226713270000.00,49653000000.00,0.625462928,1.4083,0.070084551,1.8,0.001282618,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=T
ADSK,Autodesk Inc,Information Technology,104.81,-77.07,-0.148168797,0,0,-2.61,-0.059197097,131.1,81.75,24348294504.00,378100000.00,#VALUE!,16.5068,0.821466784,224.13,0.159707278,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADSK
ADP,Automatic Data Processing,Information Technology,108.25,29.34,0.056406806,2.2191,0.175267747,3.85,0.087321388,125.24,95.5,50337702249.00,2767400000.00,0.034860051,4.0483,0.201465092,12.86,0.009163591,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADP
AZO,AutoZone Inc,Consumer Discretionary,718.57,16.31,0.03135634,0,0,44.09,1,797.89,491.13,19922021415.00,2347304000.00,0.029568236,1.851,0.092115675,136.23,0.097072781,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AZO
AVB,"AvalonBay Communities, Inc.",Real Estate,154.94,17.97,0.034547727,3.7149,0.293408208,6.36,0.144250397,199.52,156.01,21856547430.00,1331579000.00,0.016773474,10.2512,0.510154621,2.12,0.001510639,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVB
AVY,Avery Dennison Corp,Materials,110.77,22.11,0.042506969,1.5682,0.123858718,3.11,0.070537537,123.67,78.471,10104814319.00,831200000.00,0.01047036,1.5206,0.075673201,8.83,0.006291952,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVY
BHGE,"Baker Hughes, a GE Company",Energy,27.5,305.56,0.587445929,2.4991,0.197382555,-0.31,-0.007031073,57.73,28.03,32995712852.00,285000000.00,0.003590054,1.939,0.096495026,2.25,0.001603272,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BHGE
BLL,Ball Corp,Materials,38.44,20.56,0.03952706,1.017,0.08032414,0.85,0.019278748,43.24,35.6,13767688518.00,1317000000.00,0.016589827,1.5696,0.078111703,3.62,0.002579487,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLL
BAC,Bank of America Corp,Financials,29.74,16.34,0.031414015,1.536,0.121315515,1.55,0.035155364,32.67,22.07,321478200969.00,0.00,0,3.2012,0.159308859,1.24,0.000883581,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAC
BAX,Baxter International Inc.,Health Care,62.56,25.12,0.048293761,0.9764,0.077117493,1.29,0.029258335,72.58,48.15,35713732553.00,1832000000.00,0.023077117,3.4394,0.171162967,3.77,0.002686371,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAX
BBT,BB&T Corporation,Financials,51.07,16.26,0.031260213,2.4526,0.193709917,2.74,0.062145611,55.99,41.17,42087562920.00,0.00,0,3.4552,0.171949259,1.55,0.001104476,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBT
BDX,Becton Dickinson,Health Care,211.44,22.28,0.042833798,1.3518,0.106767131,4.65,0.105466092,248.3888,175.66,50910180308.00,1537000000.00,0.019361096,5.6913,0.283229573,3.98,0.00283601,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BDX
BRK.B,Berkshire Hathaway,Financials,191.42,30.43,0.058502355,0,0,9.76,0.221365389,217.62,160.93,261401203633.00,0.00,0,1.4328,0.071303803,1.58,0.001125853,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRK.B
BBY,Best Buy Co. Inc.,Consumer Discretionary,68.79,19.22,0.03695088,1.9085,0.150736107,3.81,0.086414153,78.59,41.67,20831186176.00,2555000000.00,0.032184516,0.7672,0.038179981,4.79,0.003413188,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBY
BIIB,Biogen Inc.,Health Care,311.79,14.3,0.02749207,0,0,11.94,0.270809707,370.57,244.28,69157726427.00,6511400000.00,0.082022019,5.7374,0.285523755,5.51,0.003926235,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BIIB
BLK,BlackRock,Financials,509.38,22.49,0.043237528,2.1644,0.170947462,30.3,0.687230665,594.52,368,85907759858.00,5684000000.00,0.071599526,6.9158,0.344167251,2.95,0.002102068,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLK
HRB,Block H&R,Financials,25.19,12.29,0.0236278,3.7296,0.294569235,1.92,0.04354729,31.8,19.85,5381433872.00,894754000.00,0.011270929,2.0188,0.100466301,205.41,0.146368054,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRB
BA,Boeing Company,Industrials,329.66,27.29,0.052465635,1.9648,0.155182763,13.47,0.305511454,361.45,163.69,205617405233.00,12476000000.00,0.157156174,2.1561,0.107299085,182.86,0.130299705,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BA
BWA,BorgWarner,Consumer Discretionary,51.94,14.15,0.027203691,1.2364,0.097652671,0.55,0.012474484,58.22,37.54,11596117445.00,867900000.00,0.010932658,1.5831,0.078783536,2.89,0.002059314,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BWA
BXP,Boston Properties,Real Estate,112.09,18.05,0.034701528,2.7744,0.219126149,2.93,0.066454978,140.13,111.87,17799878487.00,1546846000.00,0.019485123,6.8395,0.340370155,3.15,0.002244581,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BXP
BSX,Boston Scientific,Health Care,25.2,20,0.038450447,0,0,0.07,0.001587662,29.93,23.29,36142506007.00,1726000000.00,0.021741869,4.0557,0.201833356,4.78,0.003406063,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BSX
BHF,Brighthouse Financial Inc,Financials,55.44,22.63,0.043506681,0,0,-24.62,-0.558403266,75,52.751,7066613254.00,0.00,0,1.4188,0.070607088,0.51,0.000363408,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BHF
BMY,Bristol-Myers Squibb,Health Care,62.69,20.83,0.040046141,2.5547,0.201773923,2.65,0.060104332,66.1,51.12,102506501960.00,5170000000.00,0.065124833,6.5032,0.323634065,6.75,0.004809816,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BMY
AVGO,Broadcom,Information Technology,229.57,15.94,0.030645006,2.9489,0.232908413,4.01,0.090950329,285.68,202.61,92791974933.00,7016000000.00,0.088378303,6.9619,0.346461434,4.4,0.003135288,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVGO
BF.B,Brown-Forman Corp.,Consumer Staples,63.33,37.04,0.071210228,1.1217,0.088593498,1.7,0.038557496,69.9028,45.415,5498033502.00,1139000000.00,0.014347618,1.8411,0.091622998,12.36,0.008807308,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BF.B
CHRW,C. H. Robinson Worldwide,Industrials,90.47,26,0.049985581,1.9877,0.156991438,3.57,0.080970742,100.18,63.41,12932483889.00,868096000.00,0.010935127,0.8528,0.042439896,9.31,0.006633984,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHRW
CA,"CA, Inc.",Information Technology,32.66,14.32,0.02753052,3,0.236944365,1.85,0.041959628,36.56,30.45,14175422936.00,1613000000.00,0.020318444,3.3742,0.167918265,2.44,0.00173866,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CA
COG,Cabot Oil & Gas,Energy,23.01,60.55,0.116408728,1.027,0.081113954,-0.92,-0.02086641,29.57,21.4,10808821635.00,404951000.00,0.005101038,8.6367,0.429808453,4.21,0.0029999,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COG
CDNS,Cadence Design Systems,Information Technology,36.82,34.09,0.065538787,0,0,0.74,0.016783851,46,29.01,10890625200.00,455607000.00,0.005739135,5.7517,0.2862354,10.98,0.007823968,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDNS
CPB,Campbell Soup,Consumer Staples,44.83,14.84,0.028530232,3.125,0.246817047,2.89,0.065547743,64.23,43.5,13467193376.00,1683000000.00,0.021200212,2.3898,0.118929249,7.91,0.005636392,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPB
COF,Capital One Financial,Financials,91.8,11.85,0.02278189,1.6307,0.128795059,3.45,0.078249036,106.5,76.05,47637260000.00,0.00,0,1.5931,0.079281189,0.94,0.000669811,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COF
CAH,Cardinal Health Inc.,Health Care,66.63,12.29,0.0236278,2.8394,0.224259944,4.04,0.091630755,84.88,54.66,20493281175.00,1913000000.00,0.024097448,0.2113,0.01051542,3.03,0.002159073,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAH
KMX,Carmax Inc,Consumer Discretionary,64.34,19.44,0.037373834,0,0,3.97,0.090043094,77.64,54.29,11827453706.00,1339628000.00,0.016874865,0.6914,0.034407767,3.55,0.002529607,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMX
CCL,Carnival Corp.,Consumer Discretionary,66.76,17.48,0.033605691,2.6042,0.205683506,3.58,0.08119755,72.7,54.75,49180044050.00,4711000000.00,0.059342957,2.8148,0.140079525,2,0.001425131,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCL
CAT,Caterpillar Inc.,Industrials,145.99,21.22,0.040795924,2.0215,0.159661012,1.26,0.028577909,173.24,90.34,91822049046.00,8136000000.00,0.102486585,2.0468,0.101859731,5.75,0.004097251,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAT
CBOE,CBOE Holdings,Financials,111.15,35.06,0.067403634,0.9427,0.074455818,2.27,0.051485598,138.54,76.75,12998295607.00,488406000.00,0.006152294,8.249,0.410514424,5.15,0.003669712,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBOE
CBG,CBRE Group,Real Estate,41.92,15.82,0.030414304,0,0,1.69,0.038330687,46.6,30.43,14440591731.00,1652961000.00,0.02082182,1.4622,0.072766904,3.74,0.002664995,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBG
CBS,CBS Corp.,Consumer Discretionary,51.8,12.05,0.023166394,1.3473,0.106411715,2.81,0.063733273,70.095,52.75,20431395736.00,2841000000.00,0.035787167,2.1055,0.104780958,6.91,0.004923827,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBS
CELG,Celgene Corp.,Health Care,91.02,13.27,0.025511872,0,0,3.58,0.08119755,147.17,92.85,74921079154.00,5233000000.00,0.065918424,5.8301,0.290137004,7.49,0.005337115,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CELG
CNC,Centene Corporation,Health Care,100.36,19.12,0.036758627,0,0,3.23,0.073259242,112.42,65.03,18012494506.00,2063000000.00,0.02598695,0.5029,0.025026998,2.58,0.001838419,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNC
